rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,United Futbol Academy ECNL G07/06,United Futbol Academy,45835,15,13,0,2,41,2.73,39,7,32
2,Concorde Fire Platinum ECNL G07/06,Concorde Fire ,35256,15,10,0,5,35,2.33,45,12,33
3,GSA ECNL G07/06,Gwinnett Soccer Academy,33371,15,10,1,4,34,2.27,35,15,20
4,CESA Liberty ECNL G07/06,Carolina Elite Soccer Academy,20311,15,8,4,3,27,1.8,24,13,11
5,FL Premier FC ECNL G07/06,Florida Premier FC,69290,15,8,5,2,26,1.73,45,28,17
6,Jacksonville FC ECNL G07/06,No Club Selection,35265,15,7,4,4,25,1.67,34,22,12
7,Orlando City ECNL G07/06,Seminole United,35258,15,7,4,4,25,1.67,34,22,12
8,Atlanta Fire United ECNL G07/06,Atlanta Fire United,34662,15,7,7,1,22,1.47,35,23,12
9,FC Prime ECNL G07/06,Athletic Club Florida,22549,15,6,6,3,21,1.4,23,23,0
10,Alabama FC ECNL G07/06,Alabama FC,35266,15,6,8,1,19,1.27,29,25,4
11,Florida Krush ECNL G07/06,Florida Kraze Krush,35020,15,4,7,4,16,1.07,24,29,-5
12,Concorde Fire Premier ECNL G07/06,Concorde Fire ,35262,15,4,8,3,15,1.0,24,34,-10
13,Tampa Bay United ECNL G07/06,Tampa Bay United,21279,15,3,9,3,12,0.8,14,33,-19
14,South Carolina United ECNL G07/06,South Carolina United FC,35270,15,2,9,4,10,0.67,16,44,-28
15,Florida West FC ECNL G07/06,No Club Selection,47397,15,0,11,4,4,0.27,10,58,-48
16,Florida Elite ECNL G07/06,Sporting SA,35114,15,0,12,3,3,0.2,7,50,-43
