rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FL Premier FC ECNL G12,Florida Premier FC,89665,15,12,1,2,38,2.53,41,12,29
2,Florida Krush ECNL G12,Florida Kraze Krush,46056,15,11,3,1,34,2.27,39,9,30
3,Concorde Fire Platinum ECNL G12,Concorde Fire ,89731,15,10,1,4,34,2.27,37,11,26
4,GSA ECNL G12,Gwinnett Soccer Academy,89616,15,9,2,4,31,2.07,40,10,30
5,Jacksonville FC ECNL G12,Jacksonville FC,89659,15,10,4,1,31,2.07,29,14,15
6,Concorde Fire Premier ECNL G12,Concorde Fire ,89720,15,10,4,1,31,2.07,36,25,11
7,CESA Liberty ECNL G12,Carolina Elite Soccer Academy,87758,15,8,4,3,27,1.8,34,11,23
8,Atlanta Fire United ECNL G12,Atlanta Fire United,79871,15,7,6,2,23,1.53,29,25,4
9,FC Prime ECNL G12,Athletic Club Florida,68940,15,6,5,4,22,1.47,30,19,11
10,Florida Elite ECNL G12,Sporting SA,94389,15,5,6,4,19,1.27,29,20,9
11,Alabama FC ECNL G12,Alabama FC,65968,15,5,8,2,17,1.13,29,30,-1
12,United Futbol Academy ECNL G12,United Futbol Academy,81903,15,3,11,1,10,0.67,5,39,-34
13,Florida West FC ECNL G12,AC Florida West,89660,15,3,11,1,10,0.67,14,41,-27
14,South Carolina United ECNL G12,South Carolina United FC,89551,15,3,12,0,9,0.6,7,36,-29
15,Tampa Bay United ECNL G12,Tampa Bay United,69068,15,2,13,0,6,0.4,6,52,-46
16,Orlando City ECNL G12,Seminole United,94621,15,1,14,0,3,0.2,8,59,-51
