rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,GSA ECNL G10,Gwinnett Soccer Academy,68924,15,13,2,0,39,2.6,56,10,46
2,Concorde Fire Platinum ECNL G10,Concorde Fire ,68802,15,12,2,1,37,2.47,35,8,27
3,FL Premier FC ECNL G10,Florida Premier FC,69293,15,12,2,1,37,2.47,49,9,40
4,FC Prime ECNL G10,Athletic Club Florida,46727,15,11,2,2,35,2.33,28,8,20
5,Atlanta Fire United ECNL G10,Atlanta Fire United,67127,15,10,4,1,31,2.07,35,21,14
6,Florida Krush ECNL G10,Florida Kraze Krush,34955,15,9,4,2,29,1.93,26,15,11
7,Jacksonville FC ECNL G10,Jacksonville FC,69484,15,8,6,1,25,1.67,27,19,8
8,South Carolina United ECNL G10,South Carolina United FC,66055,15,7,6,2,23,1.53,27,23,4
9,Tampa Bay United ECNL G10,Tampa Bay United,49144,15,5,9,1,16,1.07,14,31,-17
10,United Futbol Academy ECNL G10,United Futbol Academy,65981,15,4,7,4,16,1.07,23,24,-1
11,Alabama FC ECNL G10,Alabama FC,69023,15,3,8,4,13,0.87,15,29,-14
12,Florida Elite ECNL G10,Sporting SA,65960,15,4,11,0,12,0.8,14,28,-14
13,CESA Liberty ECNL G10,Carolina Elite Soccer Academy,65585,15,2,7,6,12,0.8,11,31,-20
14,Florida West FC ECNL G10,AC Florida West,68716,15,3,10,2,11,0.73,17,44,-27
15,Orlando City ECNL G10,Seminole United,69112,15,1,12,2,5,0.33,7,42,-35
16,Concorde Fire Premier ECNL G10,Concorde Fire ,68797,15,1,13,1,4,0.27,5,47,-42
