rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Prime ECNL G08,Athletic Club Florida,38492,15,13,0,2,41,2.73,73,10,63
2,Florida Krush ECNL G08,Florida Kraze Krush,34961,15,11,3,1,34,2.27,43,17,26
3,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,15,11,4,0,33,2.2,33,17,16
4,Tampa Bay United ECNL G08,Tampa Bay United,36328,15,8,5,2,26,1.73,17,18,-1
5,GSA ECNL G08,Gwinnett Soccer Academy,46812,15,7,3,5,26,1.73,19,11,8
6,Alabama FC ECNL G08,Alabama FC,46807,15,7,4,4,25,1.67,36,25,11
7,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,15,7,5,3,24,1.6,24,18,6
8,Jacksonville FC ECNL G08,Jacksonville FC,46814,15,5,3,7,22,1.47,24,14,10
9,FL Premier FC ECNL G08,Florida Premier FC,69291,15,5,6,4,19,1.27,14,25,-11
10,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,15,5,7,3,18,1.2,29,26,3
11,South Carolina United ECNL G08,South Carolina United FC,43173,15,4,8,3,15,1.0,16,26,-10
12,Florida Elite ECNL G08,Sporting SA,46901,15,4,9,2,14,0.93,17,28,-11
13,Orlando City ECNL G08,Seminole United,28033,15,4,9,2,14,0.93,18,36,-18
14,Atlanta Fire United ECNL G08,Atlanta Fire United,43088,15,3,8,4,13,0.87,11,31,-20
15,United Futbol Academy ECNL G08,United Futbol Academy,45834,15,1,7,7,10,0.67,15,29,-14
16,Florida West FC ECNL G08,AC Florida West,47396,15,0,14,1,1,0.07,6,64,-58
