rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,United Futbol Academy ECNL G07/06,United Futbol Academy,45835,15,13,0,2,41,2.73,39,7,32,G2007/2006,ECNL
2,Concorde Fire Platinum ECNL G07/06,Concorde Fire ,35256,15,10,0,5,35,2.33,45,12,33,G2007/2006,ECNL
3,GSA ECNL G07/06,Gwinnett Soccer Academy,33371,15,10,1,4,34,2.27,35,15,20,G2007/2006,ECNL
4,CESA Liberty ECNL G07/06,Carolina Elite Soccer Academy,20311,15,8,4,3,27,1.8,24,13,11,G2007/2006,ECNL
5,FL Premier FC ECNL G07/06,Florida Premier FC,69290,15,8,5,2,26,1.73,45,28,17,G2007/2006,ECNL
6,Jacksonville FC ECNL G07/06,No Club Selection,35265,15,7,4,4,25,1.67,34,22,12,G2007/2006,ECNL
7,Orlando City ECNL G07/06,Seminole United,35258,15,7,4,4,25,1.67,34,22,12,G2007/2006,ECNL
8,Atlanta Fire United ECNL G07/06,Atlanta Fire United,34662,15,7,7,1,22,1.47,35,23,12,G2007/2006,ECNL
9,FC Prime ECNL G07/06,Athletic Club Florida,22549,15,6,6,3,21,1.4,23,23,0,G2007/2006,ECNL
10,Alabama FC ECNL G07/06,Alabama FC,35266,15,6,8,1,19,1.27,29,25,4,G2007/2006,ECNL
11,Florida Krush ECNL G07/06,Florida Kraze Krush,35020,15,4,7,4,16,1.07,24,29,-5,G2007/2006,ECNL
12,Concorde Fire Premier ECNL G07/06,Concorde Fire ,35262,15,4,8,3,15,1.0,24,34,-10,G2007/2006,ECNL
13,Tampa Bay United ECNL G07/06,Tampa Bay United,21279,15,3,9,3,12,0.8,14,33,-19,G2007/2006,ECNL
14,South Carolina United ECNL G07/06,South Carolina United FC,35270,15,2,9,4,10,0.67,16,44,-28,G2007/2006,ECNL
15,Florida West FC ECNL G07/06,No Club Selection,47397,15,0,11,4,4,0.27,10,58,-48,G2007/2006,ECNL
16,Florida Elite ECNL G07/06,Sporting SA,35114,15,0,12,3,3,0.2,7,50,-43,G2007/2006,ECNL
1,FC Prime ECNL G08,Athletic Club Florida,38492,15,13,0,2,41,2.73,73,10,63,G2008,ECNL
2,Florida Krush ECNL G08,Florida Kraze Krush,34961,15,11,3,1,34,2.27,43,17,26,G2008,ECNL
3,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,15,11,4,0,33,2.2,33,17,16,G2008,ECNL
4,Tampa Bay United ECNL G08,Tampa Bay United,36328,15,8,5,2,26,1.73,17,18,-1,G2008,ECNL
5,GSA ECNL G08,Gwinnett Soccer Academy,46812,15,7,3,5,26,1.73,19,11,8,G2008,ECNL
6,Alabama FC ECNL G08,Alabama FC,46807,15,7,4,4,25,1.67,36,25,11,G2008,ECNL
7,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,15,7,5,3,24,1.6,24,18,6,G2008,ECNL
8,Jacksonville FC ECNL G08,Jacksonville FC,46814,15,5,3,7,22,1.47,24,14,10,G2008,ECNL
9,FL Premier FC ECNL G08,Florida Premier FC,69291,15,5,6,4,19,1.27,14,25,-11,G2008,ECNL
10,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,15,5,7,3,18,1.2,29,26,3,G2008,ECNL
11,South Carolina United ECNL G08,South Carolina United FC,43173,15,4,8,3,15,1.0,16,26,-10,G2008,ECNL
12,Florida Elite ECNL G08,Sporting SA,46901,15,4,9,2,14,0.93,17,28,-11,G2008,ECNL
13,Orlando City ECNL G08,Seminole United,28033,15,4,9,2,14,0.93,18,36,-18,G2008,ECNL
14,Atlanta Fire United ECNL G08,Atlanta Fire United,43088,15,3,8,4,13,0.87,11,31,-20,G2008,ECNL
15,United Futbol Academy ECNL G08,United Futbol Academy,45834,15,1,7,7,10,0.67,15,29,-14,G2008,ECNL
16,Florida West FC ECNL G08,AC Florida West,47396,15,0,14,1,1,0.07,6,64,-58,G2008,ECNL
1,FC Prime ECNL G09,Athletic Club Florida,46728,15,12,1,2,38,2.53,47,12,35,G2009,ECNL
2,Concorde Fire Platinum ECNL G09,Concorde Fire ,59255,15,12,1,2,38,2.53,55,9,46,G2009,ECNL
3,United Futbol Academy ECNL G09,United Futbol Academy,59536,15,12,2,1,37,2.47,33,11,22,G2009,ECNL
