rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SUSA FC ECNL GU13,SUSA FC,46963,15,13,1,1,40,2.67,70,3,67
2,World Class FC  ECNL GU13,World Class FC,46959,15,12,2,1,37,2.47,27,12,15
3,FC Stars Blue ECNL GU13,FC Stars,36636,15,9,4,2,29,1.93,36,22,14
4,PDA White ECNL GU13,PDA White (Shore),13679,16,8,5,3,27,1.69,27,19,8
5,FSA FC ECNL GU13 ,FSA FC,46953,15,8,6,1,25,1.67,22,26,-4
6,Connecticut FC ECNL GU13,Connecticut FC,47024,16,4,10,2,14,0.88,23,49,-26
7,Scorpions Soccer ECNL GU13,Scorpions SC,46961,16,4,11,1,13,0.81,24,39,-15
8,East Meadow SC ECNL GU13,East Meadow Soccer Club,46957,16,2,9,5,11,0.69,16,38,-22
9,FC Stars White ECNL GU13 ,FC Stars,36635,16,1,13,2,5,0.31,8,45,-37
