rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,SUSA FC ECNL GU13,SUSA FC,46963,15,13,1,1,40,2.67,70,3,67,GU13,Flight 1
2,World Class FC  ECNL GU13,World Class FC,46959,15,12,2,1,37,2.47,27,12,15,GU13,Flight 1
3,FC Stars Blue ECNL GU13,FC Stars,36636,15,9,4,2,29,1.93,36,22,14,GU13,Flight 1
4,PDA White ECNL GU13,PDA White (Shore),13679,16,8,5,3,27,1.69,27,19,8,GU13,Flight 1
5,FSA FC ECNL GU13 ,FSA FC,46953,15,8,6,1,25,1.67,22,26,-4,GU13,Flight 1
6,Connecticut FC ECNL GU13,Connecticut FC,47024,16,4,10,2,14,0.88,23,49,-26,GU13,Flight 1
7,Scorpions Soccer ECNL GU13,Scorpions SC,46961,16,4,11,1,13,0.81,24,39,-15,GU13,Flight 1
8,East Meadow SC ECNL GU13,East Meadow Soccer Club,46957,16,2,9,5,11,0.69,16,38,-22,GU13,Flight 1
9,FC Stars White ECNL GU13 ,FC Stars,36635,16,1,13,2,5,0.31,8,45,-37,GU13,Flight 1
1,FC Stars Blue ECNL GU14,FC Stars,35278,15,14,0,1,43,2.87,50,9,41,GU14,Flight 1
2,World Class FC ECNL GU14,World Class FC,36640,16,8,3,5,29,1.81,26,16,10,GU14,Flight 1
3,Connecticut FC ECNL GU14,Connecticut FC,46829,16,8,5,3,27,1.69,30,20,10,GU14,Flight 1
4,SUSA FC ECNL GU14,SUSA FC,14509,16,8,5,3,27,1.69,27,17,10,GU14,Flight 1
5,PDA White ECNL GU14,PDA White (Shore),11460,16,6,3,7,25,1.56,20,16,4,GU14,Flight 1
6,FSA FC ECNL GU14,FSA FC,25539,15,4,6,5,17,1.13,19,29,-10,GU14,Flight 1
7,Scorpions Soccer ECNL GU14,Scorpions SC,36639,16,4,10,2,14,0.88,21,29,-8,GU14,Flight 1
8,East Meadow SC ECNL GU14 ,East Meadow Soccer Club,36634,16,2,10,4,10,0.63,8,27,-19,GU14,Flight 1
9,FC Stars White ECNL GU14,FC Stars,21552,16,1,13,2,5,0.31,8,46,-38,GU14,Flight 1
1,World Class FC ECNL GU15,World Class FC,35284,16,14,1,1,43,2.69,38,13,25,GU15,Flight 1
2,FC Stars Blue ECNL GU15,FC Stars,19883,16,13,3,0,39,2.44,44,7,37,GU15,Flight 1
