rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU15,Solar SC,20122,22,22,0,0,66,3.0,130,11,119
2,FC Dallas ECNL GU15,FC Dallas Youth,46783,22,16,3,3,51,2.32,63,17,46
3,DKSC ECNL GU15,No Club Selection,35219,22,15,5,2,47,2.14,59,28,31
4,OK Energy FC ECNL GU15,Oklahoma Energy FC,59504,22,14,5,3,45,2.05,57,21,36
5,Sting Dallas Black ECNL GU15,Sting Soccer Club,12441,22,10,10,2,32,1.45,33,33,0
6,Dallas Texans ECNL GU15,Dallas Texans,45790,22,8,10,4,28,1.27,30,34,-4
7,Challenge SC ECNL GU15,Challenge SC,35214,22,8,11,3,27,1.23,26,44,-18
8,Tulsa SC ECNL GU15,No Club Selection,35234,22,6,10,6,24,1.09,22,39,-17
9,AHFC ECNL GU15,Albion Hurricanes FC,35213,22,6,11,5,23,1.05,27,32,-5
10,Sting Austin ECNL GU15,Sting Austin,35232,22,6,11,5,23,1.05,26,41,-15
11,Classics Elite ECNL GU15,Classics Elite Soccer Academy,35215,22,3,16,3,12,0.55,22,83,-61
12,Sting Dallas Royal ECNL GU15,Sting Soccer Club,45801,22,0,22,0,0,0.0,10,122,-112
