rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU16,Solar SC,11423,22,21,0,1,64,2.91,76,9,67
2,FC Dallas ECNL GU16,FC Dallas Youth,46784,22,18,2,2,56,2.55,67,13,54
3,DKSC ECNL GU16,No Club Selection,19628,22,15,6,1,46,2.09,56,19,37
4,OK Energy FC ECNL GU16,Oklahoma Energy FC,59505,22,10,6,6,36,1.64,35,30,5
5,Tulsa SC ECNL GU16,No Club Selection,20413,22,11,9,2,35,1.59,29,36,-7
6,Dallas Texans ECNL GU16,Dallas Texans,12268,22,10,8,4,34,1.55,31,29,2
7,Sting Dallas Black ECNL GU16,Sting Soccer Club,20412,22,9,12,1,28,1.27,26,39,-13
8,AHFC ECNL GU16,Albion Hurricanes FC,20381,22,5,12,5,20,0.91,13,27,-14
9,Classics Elite ECNL GU16,Classics Elite Soccer Academy,20383,22,6,14,2,20,0.91,25,42,-17
10,Challenge SC ECNL GU16,Challenge SC,20382,22,5,14,3,18,0.82,27,46,-19
11,Sting Dallas Royal ECNL GU16,Sting Soccer Club,46274,22,3,13,6,15,0.68,16,54,-38
12,Sting Austin ECNL GU16,Sting Austin,20411,22,1,18,3,6,0.27,11,68,-57
