rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU14,Solar SC,46791,22,22,0,0,66,3.0,100,7,93
2,Sting Dallas Black ECNL GU14,Sting Soccer Club,11429,22,16,4,2,50,2.27,58,15,43
3,Sting Austin ECNL GU14,Sting Austin,46779,22,11,6,5,38,1.73,48,27,21
4,DKSC ECNL GU14,No Club Selection,45734,22,11,7,4,37,1.68,44,39,5
5,FC Dallas ECNL GU14,FC Dallas Youth,46900,22,9,6,7,34,1.55,37,26,11
6,Dallas Texans ECNL GU14,Dallas Texans,45786,22,9,6,7,34,1.55,27,25,2
7,OK Energy FC ECNL GU14,Oklahoma Energy FC,59503,22,10,10,2,32,1.45,49,34,15
8,AHFC ECNL GU14,Albion Hurricanes FC,39582,22,8,8,6,30,1.36,27,30,-3
9,Sting Dallas Royal ECNL GU14,Sting Soccer Club,22213,22,7,13,2,23,1.05,25,48,-23
10,Classics Elite ECNL GU14,Classics Elite Soccer Academy,29192,22,5,13,4,19,0.86,28,72,-44
11,Challenge SC ECNL GU14,Challenge SC,44419,22,3,17,2,11,0.5,14,46,-32
12,Tulsa SC ECNL GU14,No Club Selection,44083,22,0,21,1,1,0.05,11,99,-88
