rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G09,PDA Blue (North),13678,18,16,0,2,50,2.78,71,11,60
2,Match Fit Academy ECNL G09,Match Fit Surf,46947,18,12,3,3,39,2.17,58,17,41
3,FC Bucks ECNL G09,HEX FC,46941,18,9,4,5,32,1.78,38,33,5
4,Penn Fusion SA ECNL G09,Penn Fusion Soccer Academy,46945,18,9,6,3,30,1.67,33,20,13
5,Pipeline SC ECNL G09,Pipeline SC,46948,18,9,7,2,29,1.61,32,25,7
6,FC DELCO ECNL G09,FC DELCO,46942,17,7,7,3,24,1.41,28,22,6
7,Bethesda SC ECNL G09,Bethesda SC,46940,17,7,8,2,23,1.35,32,38,-6
8,PDA White ECNL G09,PDA White (Shore),13679,18,4,12,2,14,0.78,22,49,-27
9,Maryland United FC ECNL G09,Maryland United Football Club,46944,18,4,13,1,13,0.72,18,43,-25
10,PDA South ECNL G09,PDA South,11436,18,0,17,1,1,0.06,12,86,-74
