rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G05/04,PDA Blue (North),1792,12,12,0,0,36,3.0,49,4,45
2,Penn Fusion SA ECNL G05/04,Penn Fusion Soccer Academy,44734,13,7,1,5,26,2.0,22,13,9
3,Pipeline SC ECNL G05/04,No Club Selection,45830,12,6,4,2,20,1.67,18,12,6
4,Match Fit Academy ECNL G05/04,Match Fit Surf,12263,13,6,4,3,21,1.62,26,15,11
5,FC Bucks ECNL G05/04,HEX FC,11974,13,6,4,3,21,1.62,30,26,4
6,Bethesda SC ECNL G05/04,Bethesda SC,11883,13,5,6,2,17,1.31,20,29,-9
7,Maryland United FC ECNL G05/04,No Club Selection,12265,11,4,5,2,14,1.27,18,18,0
8,PDA White ECNL G05/04,Players Development Academy,1866,13,3,7,3,12,0.92,24,26,-2
9,FC DELCO ECNL G05/04,FC DELCO,11808,12,1,9,2,5,0.42,11,40,-29
10,PDA South ECNL G05/04,PDA South,1814,12,1,11,0,3,0.25,7,42,-35
