rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G10,Penn Fusion Soccer Academy,59666,18,15,1,2,47,2.61,60,13,47
2,Match Fit Academy ECNL G10,Match Fit Surf,21396,18,12,2,4,40,2.22,54,20,34
3,Bethesda SC ECNL G10,Bethesda SC,60101,17,12,4,1,37,2.18,32,12,20
4,PDA Blue ECNL G10,PDA Blue (North),56324,18,10,3,5,35,1.94,33,12,21
5,FC DELCO ECNL G10,FC DELCO,59671,17,10,5,2,32,1.88,33,11,22
6,FC Bucks ECNL G10,HEX FC,58137,18,8,8,2,26,1.44,34,38,-4
7,PDA White ECNL G10,PDA White (Shore),35695,18,5,13,0,15,0.83,24,53,-29
8,Pipeline SC ECNL G10,Pipeline SC,53320,18,3,10,5,14,0.78,14,29,-15
9,PDA South ECNL G10,PDA South,20115,18,2,15,1,7,0.39,11,44,-33
10,Maryland United FC ECNL G10,Maryland United Football Club,62050,18,0,16,2,2,0.11,1,64,-63
