rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,13,13,0,0,39,3.0,54,8,46
2,PDA Blue ECNL G08,PDA Blue (North),3701,13,11,2,0,33,2.54,41,8,33
3,Bethesda SC ECNL G08,Bethesda SC,46815,13,9,3,1,28,2.15,30,20,10
4,Pipeline SC ECNL G08,Pipeline SC,45827,13,7,4,2,23,1.77,17,14,3
5,FC DELCO ECNL G08,FC DELCO,36383,13,3,7,3,12,0.92,18,23,-5
6,PDA White ECNL G08,PDA White (Shore),11460,13,3,8,2,11,0.85,13,22,-9
7,Maryland United FC ECNL G08,Maryland United Football Club,36637,13,2,7,4,10,0.77,9,25,-16
8,FC Bucks ECNL G08,HEX FC,26917,12,2,7,3,9,0.75,10,27,-17
9,Match Fit Academy ECNL G08,Match Fit Surf,34505,13,1,7,5,8,0.62,12,33,-21
10,PDA South ECNL G08,PDA South,1815,12,1,7,4,7,0.58,8,32,-24
