rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G07,PDA Blue (North),1967,13,13,0,0,39,3.0,60,4,56
2,Penn Fusion SA ECNL G07,No Club Selection,44736,13,9,3,1,28,2.15,21,8,13
3,Match Fit Academy ECNL G07,Match Fit Surf,34504,13,8,2,3,27,2.08,36,14,22
4,Maryland United FC ECNL G07,No Club Selection,35283,13,8,4,1,25,1.92,21,20,1
5,FC DELCO ECNL G07,FC DELCO,12575,13,5,4,4,19,1.46,26,23,3
6,PDA White ECNL G07,PDA White (Shore),6860,13,4,6,3,15,1.15,20,21,-1
7,Bethesda SC ECNL G07,Bethesda SC,35273,13,4,6,3,15,1.15,16,29,-13
8,PDA South ECNL G07,PDA South,1840,13,2,6,5,11,0.85,7,22,-15
9,Pipeline SC ECNL G07,Pipeline SC,45828,13,1,12,0,3,0.23,5,44,-39
10,FC Bucks ECNL G07,HEX FC,33878,13,0,11,2,2,0.15,5,32,-27
