rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Boise Thorns FC ECNL G2009/10,Boise Timbers | Thorns,69320,3,3,0,0,9,3.0,8,3,5
2,Washington Premier ECNL G10,Washington Premier FC,68860,3,2,0,1,7,2.33,9,2,7
3,Pleasanton RAGE ECNL G2009/10,Pleasanton Rage,44309,3,2,0,1,7,2.33,10,4,6
4,LV Heat Surf ECNL G2009/10,LV Heat Surf SC ,42984,3,2,0,1,7,2.33,9,5,4
5,Oregon Surf ECNL G10,Oregon Surf SC,90908,3,2,1,0,6,2.0,5,5,0
6,Cleveland Force SC ECNL G10,Cleveland Force SC,46986,3,1,0,2,5,1.67,6,5,1
7,LAFC So Cal ECNL G10,LAFC So Cal,65560,3,1,0,2,5,1.67,4,3,1
8,COSC ECNL G10,California Odyssey Soccer Club,64375,3,1,1,1,4,1.33,8,7,1
9,Colorado Rapids ECNL G10,Colorado Storm,69485,3,1,1,1,4,1.33,5,5,0
10,Gretna Elite Academy - ECNL G10,Gretna Elite Academy,60717,3,1,1,1,4,1.33,4,4,0
11,Dallas Texans - ECNL G10,Dallas Texans,69269,3,1,1,1,4,1.33,5,7,-2
12,Legends FC San Diego ECNL G10,Legends FC - Del Mar,64321,3,1,2,0,3,1.0,7,8,-1
13,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,3,1,2,0,3,1.0,5,7,-2
14,CESA Liberty ECNL G2010/11,Carolina Elite Soccer Academy,65585,3,1,2,0,3,1.0,2,6,-4
15,Fairfax VA Union ECNL G10,Fairfax Virginia Union,96996,3,0,2,1,1,0.33,8,10,-2
16,Placer United ECNL G2009/10,Placer United Soccer Club,68832,3,0,2,1,1,0.33,2,4,-2
17,United Futbol Academy - ECNL G10,United Futbol Academy,65981,3,0,2,1,1,0.33,4,9,-5
18,Arizona Arsenal ECNL G10,Arizona Arsenal Soccer Club,65042,3,0,3,0,0,0.0,4,11,-7
