rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Connecticut FC United ECNL G2013/14,Connecticut FC,114665,0,0,0,0,0,0.0,0,0,0
2,East Meadow Soccer Club ECNL G2013/14,East Meadow Soccer Club,134818,0,0,0,0,0,0.0,0,0,0
3,FC Stars Blue ECNL G2013/14,FC Stars,94540,0,0,0,0,0,0.0,0,0,0
4,FC Stars White ECNL G2013/14,FC Stars,82242,0,0,0,0,0,0.0,0,0,0
5,FSA FC ECNL G2013/14,FSA FC,117147,0,0,0,0,0,0.0,0,0,0
6,Scorpions SC ECNL G2013/14,Scorpions SC,94747,0,0,0,0,0,0.0,0,0,0
7,Select ECNL G2013/14,Select,134369,0,0,0,0,0,0.0,0,0,0
8,SUSA FC ECNL G2013/14,SUSA FC,104044,0,0,0,0,0,0.0,0,0,0
9,World Class FC ECNL G2013/14,World Class FC,64208,0,0,0,0,0,0.0,0,0,0
