rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,14,12,0,2,38,2.71,42,3,39
2,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,14,11,2,1,34,2.43,31,7,24
3,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,14,10,1,3,33,2.36,38,10,28
4,Kansas City Athletics ECNL G08,KC Athletics,19672,14,10,2,2,32,2.29,36,16,20
5,Michigan Hawks ECNL G08,Michigan Hawks,46771,14,10,3,1,31,2.21,45,9,36
6,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,14,8,4,2,26,1.86,37,12,25
7,Michigan Hawks Magic ECNL G08,Michigan Hawks,46773,14,7,6,1,22,1.57,20,16,4
8,Liverpool FC IA Michigan ECNL G08,Liverpool FC-IA Michigan,59307,14,5,7,2,17,1.21,23,27,-4
9,Sporting Iowa ECNL G08,Sporting Iowa Central,59751,14,4,6,4,16,1.14,12,17,-5
10,Midwest United FC ECNL G08,Midwest United FC,59334,14,4,8,2,14,1.0,16,35,-19
11,SLSG Green ECNL G08,St. Louis Scott Gallagher,46767,14,3,7,4,13,0.93,11,20,-9
12,FC Wisconsin ECNL G08,FC Wisconsin Girls,46764,14,3,8,3,12,0.86,8,21,-13
13,Rockford Raptors FC ECNL G08,Rockford Raptors FC,60410,14,3,10,1,10,0.71,11,42,-31
14,Gretna Elite Academy ECNL G08,Gretna Elite Academy,46765,14,1,13,0,3,0.21,6,38,-32
15,Eclipse Select SC North ECNL G08,Eclipse Select Soccer Club,46762,14,0,14,0,0,0.0,5,68,-63
