rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G05/04,St. Louis Scott Gallagher,11283,14,12,1,1,37,2.64,51,8,43
2,Kansas City Athletics ECNL G05/04,KC Athletics,19379,14,12,2,0,36,2.57,53,18,35
3,Michigan Hawks ECNL G05/04,Michigan Hawks,19897,14,11,1,2,35,2.5,43,10,33
4,Eclipse Select SC ECNL G05/04,Eclipse Select Soccer Club,12526,14,10,2,2,32,2.29,43,13,30
5,Minnesota Thunder ECNL G05/04,No Club Selection,11564,14,9,3,2,29,2.07,41,19,22
6,Sporting Blue Valley ECNL G05/04,Sporting Blue Valley,46620,14,8,6,0,24,1.71,37,22,15
7,Gretna Elite Academy ECNL G05/04,No Club Selection,11096,14,7,7,0,21,1.5,35,33,2
8,Sporting Iowa ECNL G05/04,Sporting Iowa Central,59755,14,7,7,0,21,1.5,24,24,0
9,Midwest United FC ECNL G05/04,Midwest United FC,59312,14,5,6,3,18,1.29,20,30,-10
10,FC Wisconsin ECNL G05/04,No Club Selection,11102,14,5,7,2,17,1.21,21,29,-8
11,Liverpool FC IA Michigan ECNL G05/04,Liverpool FC-IA Michigan,58651,14,4,7,3,15,1.07,27,32,-5
12,SLSG Green ECNL G05/04,St. Louis Scott Gallagher,12529,14,2,10,2,8,0.57,9,31,-22
13,Michigan Hawks Magic ECNL G05/04,Michigan Hawks,11290,14,2,12,0,6,0.43,9,47,-38
14,Eclipse Select SC North ECNL G05/04,Eclipse Select Soccer Club,20189,14,1,12,1,4,0.29,6,43,-37
15,Rockford Raptors FC ECNL G05/04,Rockford Raptors FC,60411,14,0,12,2,2,0.14,8,68,-60
