rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G07,Michigan Hawks,35251,14,12,0,2,38,2.71,55,4,51
2,Sporting Blue Valley ECNL G07,Sporting Blue Valley,46618,14,10,2,2,32,2.29,36,9,27
3,Minnesota Thunder ECNL G07,No Club Selection,35253,14,10,2,2,32,2.29,42,10,32
4,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,14,9,2,3,30,2.14,42,12,30
5,Kansas City Athletics ECNL G07,KC Athletics,19372,14,9,3,2,29,2.07,52,22,30
6,Eclipse Select SC ECNL G07,Eclipse Select Soccer Club,13614,14,8,3,3,27,1.93,42,13,29
7,Gretna Elite Academy ECNL G07,No Club Selection,35249,14,8,6,0,24,1.71,39,26,13
8,Midwest United FC ECNL G07,Midwest United FC,59332,14,7,5,2,23,1.64,28,20,8
9,Sporting Iowa ECNL G07,Sporting Iowa Central,59752,14,5,6,3,18,1.29,21,29,-8
10,SLSG Green ECNL G07,St. Louis Scott Gallagher,35254,14,4,7,3,15,1.07,26,19,7
11,Michigan Hawks Magic ECNL G07,Michigan Hawks,35252,14,4,7,3,15,1.07,18,30,-12
12,FC Wisconsin ECNL G07,FC Wisconsin Girls,35250,14,2,11,1,7,0.5,4,46,-42
13,Liverpool FC IA Michigan ECNL G07,Liverpool FC-IA Michigan,58649,14,1,11,2,5,0.36,6,42,-36
14,Rockford Raptors FC ECNL G07,Rockford Raptors FC,15637,14,1,12,1,4,0.29,10,64,-54
15,Eclipse Select SC North ECNL G07,Eclipse Select Soccer Club,35248,14,0,13,1,1,0.07,3,78,-75
