rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Black ECNL G12,Sting Soccer Club,59609,15,13,0,2,41,2.73,88,9,79
2,DKSC ECNL G12,DKSC,81105,15,12,1,2,38,2.53,42,8,34
3,Solar SC ECNL G12,Solar SC,59566,15,12,1,2,38,2.53,55,15,40
4,Sting Austin ECNL G12,Sting Austin,94677,15,10,3,2,32,2.13,39,15,24
5,Real Colorado National ECNL G12,Real Colorado,95108,15,10,3,2,32,2.13,43,6,37
6,FC Dallas ECNL G12,FC Dallas Youth,94652,15,8,4,3,27,1.8,33,22,11
7,Sting Royal ECNL G12,Sting Soccer Club,94686,15,8,5,2,26,1.73,33,28,5
8,OK Energy FC ECNL G12,Oklahoma Energy FC,94440,15,8,6,1,25,1.67,45,18,27
9,Challenge SC ECNL G12 ,Challenge SC,91608,15,7,5,3,24,1.6,45,23,22
10,Albion Hurricanes FC ECNL G12,Albion Hurricanes FC,71431,15,4,8,3,15,1.0,15,34,-19
11,Classics Elite ECNL G12,Classics Elite Soccer Academy,94418,15,4,9,2,14,0.93,17,51,-34
12,Colorado Rapids ECNL G12,Colorado Storm,71847,15,3,9,3,12,0.8,13,31,-18
13,Tulsa SC ECNL G12,No Club Selection,92505,15,2,12,1,7,0.47,16,71,-55
14,Dallas Texans ECNL G12,Dallas Texans,94836,15,1,10,4,7,0.47,12,45,-33
15,Colorado Rush ECNL G12,Colorado Rush,95047,15,1,12,2,5,0.33,10,51,-41
16,Real Colorado Athletico ECNL G12,Real Colorado,95110,15,0,15,0,0,0.0,4,83,-79
