rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G07/06,Solar SC,20122,15,13,1,1,40,2.67,66,9,57
2,FC Dallas ECNL G07/06,FC Dallas Youth,46783,15,11,3,1,34,2.27,51,16,35
3,OK Energy FC ECNL G07/06,Oklahoma Energy FC,59504,15,8,4,3,27,1.8,40,21,19
4,Colorado Rush ECNL G07/06,Colorado Rush,94978,15,8,5,2,26,1.73,32,25,7
5,Sting Royal ECNL G07/06,Sting Soccer Club,45801,15,7,5,3,24,1.6,20,20,0
6,Real Colorado National ECNL G07/06,Real Colorado,45854,15,7,5,3,24,1.6,30,16,14
7,Albion Hurricanes FC ECNL G07/06,Albion Hurricanes FC,35213,15,6,4,5,23,1.53,33,22,11
8,Sting Black ECNL G07/06,Sting Soccer Club,12441,15,7,6,2,23,1.53,29,28,1
9,Tulsa SC ECNL G07/06,No Club Selection,35234,15,7,6,2,23,1.53,27,29,-2
10,Dallas Texans ECNL G07/06,Dallas Texans,45790,15,6,5,4,22,1.47,29,25,4
11,Challenge SC ECNL G07/06,Challenge SC,35214,15,5,5,5,20,1.33,19,26,-7
12,Sting Austin ECNL G07/06,Sting Austin,35232,15,4,5,6,18,1.2,21,29,-8
13,Real Colorado Athletico ECNL G07/06,Real Colorado,46444,15,2,9,4,10,0.67,10,34,-24
14,Colorado Rapids ECNL G07/06,Colorado Storm,35218,15,1,8,6,9,0.6,15,33,-18
15,DKSC ECNL G07/06,No Club Selection,35219,15,2,10,3,9,0.6,12,50,-38
16,Classics Elite ECNL G07/06,Classics Elite Soccer Academy,35215,15,1,14,0,3,0.2,9,60,-51
