rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G10,Solar SC,66050,15,15,0,0,45,3.0,46,4,42
2,Real Colorado National ECNL G10,Real Colorado,69251,15,12,2,1,37,2.47,39,8,31
3,Albion Hurricanes FC ECNL G10,Albion Hurricanes FC,40463,15,10,2,3,33,2.2,22,13,9
4,FC Dallas ECNL G10,FC Dallas Youth,46266,15,9,5,1,28,1.87,32,11,21
5,Sting Royal ECNL G10,Sting Soccer Club,68974,15,9,5,1,28,1.87,30,16,14
6,OK Energy FC ECNL G10,Oklahoma Energy FC,61013,15,8,4,3,27,1.8,33,21,12
7,Sting Black ECNL G10,Sting Soccer Club,48667,15,8,5,2,26,1.73,27,22,5
8,Challenge SC ECNL G10,Challenge SC,66750,15,6,8,1,19,1.27,25,26,-1
9,Sting Austin ECNL G10,Sting Austin,69524,15,4,6,5,17,1.13,19,21,-2
10,Dallas Texans ECNL G10,Dallas Texans,69269,15,5,9,1,16,1.07,18,35,-17
11,Real Colorado Athletico ECNL G10,Real Colorado,69250,15,4,8,3,15,1.0,17,25,-8
12,Classics Elite ECNL G10,Classics Elite Soccer Academy,44138,15,3,8,4,13,0.87,12,26,-14
13,Tulsa SC ECNL G10,No Club Selection,66279,15,3,9,3,12,0.8,20,33,-13
14,DKSC ECNL G10,DKSC,68923,15,2,9,4,10,0.67,15,31,-16
15,Colorado Rapids ECNL G10,Colorado Storm,69485,15,2,10,3,9,0.6,15,41,-26
16,Colorado Rush ECNL G10,Colorado Rush,94985,15,1,11,3,6,0.4,7,44,-37
