rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Black ECNL G11,Sting Soccer Club,80765,15,13,1,1,40,2.67,42,4,38
2,Solar SC ECNL G11,Solar SC,81882,15,11,3,1,34,2.27,53,10,43
3,Real Colorado National ECNL G11,Real Colorado,81431,15,10,2,3,33,2.2,35,12,23
4,OK Energy FC ECNL G11,Oklahoma Energy FC,80774,15,9,2,4,31,2.07,36,19,17
5,Sting Austin ECNL G11,Sting Austin,80047,15,8,2,5,29,1.93,22,8,14
6,FC Dallas ECNL G11,FC Dallas Youth,63889,15,9,4,2,29,1.93,48,14,34
7,Sting Royal ECNL G11,Sting Soccer Club,80240,15,7,1,7,28,1.87,19,15,4
8,Albion Hurricanes FC ECNL G11,Albion Hurricanes FC,81918,15,8,4,3,27,1.8,28,17,11
9,Dallas Texans ECNL G11,Dallas Texans,81587,15,6,8,1,19,1.27,23,35,-12
10,Challenge SC ECNL G11,Challenge SC,79514,15,3,6,6,15,1.0,14,29,-15
11,Colorado Rapids ECNL G11,Colorado Storm,72334,15,3,9,3,12,0.8,16,29,-13
12,Classics Elite ECNL G11,Classics Elite Soccer Academy,44142,15,3,11,1,10,0.67,13,31,-18
13,Tulsa SC ECNL G11,No Club Selection,42914,15,3,12,0,9,0.6,7,36,-29
14,Real Colorado Athletico ECNL G11,Real Colorado,81521,15,2,11,2,8,0.53,10,41,-31
15,Colorado Rush ECNL G11,Colorado Rush,95046,15,1,10,4,7,0.47,16,54,-38
16,DKSC ECNL G11,DKSC,81104,15,1,11,3,6,0.4,6,34,-28
