rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Solar SC ECNL G07/06,Solar SC,20122,15,13,1,1,40,2.67,66,9,57,G2007/2006,ECNL
2,FC Dallas ECNL G07/06,FC Dallas Youth,46783,15,11,3,1,34,2.27,51,16,35,G2007/2006,ECNL
3,OK Energy FC ECNL G07/06,Oklahoma Energy FC,59504,15,8,4,3,27,1.8,40,21,19,G2007/2006,ECNL
4,Colorado Rush ECNL G07/06,Colorado Rush,94978,15,8,5,2,26,1.73,32,25,7,G2007/2006,ECNL
5,Sting Royal ECNL G07/06,Sting Soccer Club,45801,15,7,5,3,24,1.6,20,20,0,G2007/2006,ECNL
6,Real Colorado National ECNL G07/06,Real Colorado,45854,15,7,5,3,24,1.6,30,16,14,G2007/2006,ECNL
7,Albion Hurricanes FC ECNL G07/06,Albion Hurricanes FC,35213,15,6,4,5,23,1.53,33,22,11,G2007/2006,ECNL
8,Sting Black ECNL G07/06,Sting Soccer Club,12441,15,7,6,2,23,1.53,29,28,1,G2007/2006,ECNL
9,Tulsa SC ECNL G07/06,No Club Selection,35234,15,7,6,2,23,1.53,27,29,-2,G2007/2006,ECNL
10,Dallas Texans ECNL G07/06,Dallas Texans,45790,15,6,5,4,22,1.47,29,25,4,G2007/2006,ECNL
11,Challenge SC ECNL G07/06,Challenge SC,35214,15,5,5,5,20,1.33,19,26,-7,G2007/2006,ECNL
12,Sting Austin ECNL G07/06,Sting Austin,35232,15,4,5,6,18,1.2,21,29,-8,G2007/2006,ECNL
13,Real Colorado Athletico ECNL G07/06,Real Colorado,46444,15,2,9,4,10,0.67,10,34,-24,G2007/2006,ECNL
14,Colorado Rapids ECNL G07/06,Colorado Storm,35218,15,1,8,6,9,0.6,15,33,-18,G2007/2006,ECNL
15,DKSC ECNL G07/06,No Club Selection,35219,15,2,10,3,9,0.6,12,50,-38,G2007/2006,ECNL
16,Classics Elite ECNL G07/06,Classics Elite Soccer Academy,35215,15,1,14,0,3,0.2,9,60,-51,G2007/2006,ECNL
1,Sting Black ECNL G08,Sting Soccer Club,11429,15,13,0,2,41,2.73,40,5,35,G2008,ECNL
2,Real Colorado National ECNL G08,Real Colorado,45853,15,13,0,2,41,2.73,35,5,30,G2008,ECNL
3,Solar SC ECNL G08,Solar SC,46791,15,11,1,3,36,2.4,49,11,38,G2008,ECNL
4,FC Dallas ECNL G08,FC Dallas Youth,46900,15,10,4,1,31,2.07,35,21,14,G2008,ECNL
5,Sting Austin ECNL G08,Sting Austin,46779,15,8,3,4,28,1.87,24,16,8,G2008,ECNL
6,Colorado Rush ECNL G08,Colorado Rush,94980,15,7,4,4,25,1.67,29,19,10,G2008,ECNL
7,DKSC ECNL G08,No Club Selection,45734,15,6,7,2,20,1.33,31,29,2,G2008,ECNL
8,Real Colorado Athletico ECNL G08,Real Colorado,46443,15,5,6,4,19,1.27,26,23,3,G2008,ECNL
9,Albion Hurricanes FC ECNL G08,Albion Hurricanes FC,39582,15,4,4,7,19,1.27,13,11,2,G2008,ECNL
10,OK Energy FC ECNL G08,Oklahoma Energy FC,59503,15,6,8,1,19,1.27,30,34,-4,G2008,ECNL
11,Colorado Rapids ECNL G08,Colorado Storm,46752,15,5,7,3,18,1.2,25,21,4,G2008,ECNL
12,Classics Elite ECNL G08,Classics Elite Soccer Academy,29192,15,4,10,1,13,0.87,15,33,-18,G2008,ECNL
13,Sting Royal ECNL G08,Sting Soccer Club,22213,15,4,10,1,13,0.87,20,34,-14,G2008,ECNL
14,Challenge SC ECNL G08,Challenge SC,44419,15,2,10,3,9,0.6,12,25,-13,G2008,ECNL
15,Dallas Texans ECNL G08,Dallas Texans,45786,15,2,12,1,7,0.47,12,36,-24,G2008,ECNL
16,Tulsa SC ECNL G08,No Club Selection,44083,15,0,14,1,1,0.07,1,74,-73,G2008,ECNL
1,Solar SC ECNL G09,Solar SC,59562,15,13,1,1,40,2.67,56,12,44,G2009,ECNL
2,Sting Royal ECNL G09,Sting Soccer Club,68973,15,12,1,2,38,2.53,42,8,34,G2009,ECNL
3,FC Dallas ECNL G09,FC Dallas Youth,58541,15,10,1,4,34,2.27,48,13,35,G2009,ECNL
4,Real Colorado National ECNL G09,Real Colorado,58631,15,10,4,1,31,2.07,35,14,21,G2009,ECNL
5,Sting Black ECNL G09,Sting Soccer Club,59553,15,9,4,2,29,1.93,30,14,16,G2009,ECNL
6,Albion Hurricanes FC ECNL G09,Albion Hurricanes FC,59340,15,8,5,2,26,1.73,22,16,6,G2009,ECNL
7,Sting Austin ECNL G09,Sting Austin,45246,15,8,5,2,26,1.73,28,15,13,G2009,ECNL
8,Colorado Rush ECNL G09,Colorado Rush,94982,15,7,6,2,23,1.53,33,31,2,G2009,ECNL
9,Dallas Texans ECNL G09,Dallas Texans,59998,15,6,5,4,22,1.47,22,24,-2,G2009,ECNL
10,Colorado Rapids ECNL G09,Colorado Storm,59850,15,6,9,0,18,1.2,20,31,-11,G2009,ECNL
11,OK Energy FC ECNL G09,Oklahoma Energy FC,59502,15,5,7,3,18,1.2,33,38,-5,G2009,ECNL
12,Challenge SC ECNL G09,Challenge SC,55881,15,4,10,1,13,0.87,15,30,-15,G2009,ECNL
