rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G09,MVLA,33438,18,14,0,4,46,2.56,52,9,43
2,San Juan SC ECNL G09,San Juan Soccer Club,31488,18,12,1,5,41,2.28,50,12,38
3,Bay Area Surf ECNL G09,Bay Area Surf,69035,18,12,2,4,40,2.22,44,14,30
4,Davis Legacy ECNL G09,Davis Legacy Soccer Club,60301,18,10,7,1,31,1.72,37,36,1
5,Marin FC ECNL G09,Marin FC,56277,18,8,6,4,28,1.56,28,22,6
6,Mustang SC ECNL G09,Mustang Soccer,31328,18,5,7,6,21,1.17,10,21,-11
7,Santa Rosa United ECNL G09,Santa Rosa United Soccer,49621,18,4,12,2,14,0.78,12,39,-27
8,De Anza Force ECNL G09,Force,60044,18,3,13,2,11,0.61,14,46,-32
9,Pleasanton RAGE ECNL G09,Pleasanton Rage,39256,18,2,12,4,10,0.56,7,27,-20
10,Placer United ECNL G09,Placer United Soccer Club,68831,18,1,11,6,9,0.5,10,38,-28
