rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Bay Area Surf ECNL G07/06,Bay Area Surf,65152,18,17,1,0,51,2.83,66,8,58,G2007/2006,ECNL
2,San Juan SC ECNL G07/06,San Juan Soccer Club,35173,18,16,1,1,49,2.72,67,11,56,G2007/2006,ECNL
3,MVLA ECNL G07/06,MVLA,35169,18,13,3,2,41,2.28,54,15,39,G2007/2006,ECNL
4,Placer United ECNL G07/06,Placer United Soccer Club,68830,18,11,7,0,33,1.83,30,16,14,G2007/2006,ECNL
5,Mustang SC ECNL G07/06,Mustang Soccer,18803,17,8,9,0,24,1.41,35,39,-4,G2007/2006,ECNL
6,De Anza Force ECNL G07/06,Force,45842,17,6,8,3,21,1.24,22,23,-1,G2007/2006,ECNL
7,Davis Legacy ECNL G07/06,Davis Legacy Soccer Club,21335,18,6,11,1,19,1.06,27,43,-16,G2007/2006,ECNL
8,Pleasanton RAGE ECNL G07/06,Pleasanton Rage,35170,18,3,14,1,10,0.56,16,57,-41,G2007/2006,ECNL
9,Santa Rosa United ECNL G07/06,Santa Rosa United Soccer,35174,18,3,15,0,9,0.5,12,79,-67,G2007/2006,ECNL
10,Marin FC ECNL G07/06,Marin FC,35162,18,1,15,2,5,0.28,9,47,-38,G2007/2006,ECNL
1,MVLA ECNL G08,MVLA,30872,18,14,2,2,44,2.44,75,21,54,G2008,ECNL
2,De Anza Force ECNL G08,Force,45841,18,14,2,2,44,2.44,51,14,37,G2008,ECNL
3,Bay Area Surf ECNL G08,Bay Area Surf,65153,18,11,5,2,35,1.94,39,23,16,G2008,ECNL
4,San Juan SC ECNL G08,No Club Selection,39174,18,9,6,3,30,1.67,46,30,16,G2008,ECNL
5,Placer United ECNL G08,Placer United Soccer Club,67918,18,8,7,3,27,1.5,25,17,8,G2008,ECNL
6,Mustang SC ECNL G08,Mustang Soccer,4653,18,8,7,3,27,1.5,28,27,1,G2008,ECNL
7,Davis Legacy ECNL G08,No Club Selection,39186,18,8,8,2,26,1.44,29,32,-3,G2008,ECNL
8,Pleasanton RAGE ECNL G08,Pleasanton Rage,39255,18,5,9,4,19,1.06,27,41,-14,G2008,ECNL
9,Santa Rosa United ECNL G08,Santa Rosa United Soccer,39258,18,1,16,1,4,0.22,10,64,-54,G2008,ECNL
10,Marin FC ECNL G08,Marin FC,39517,18,1,17,0,3,0.17,5,66,-61,G2008,ECNL
1,MVLA ECNL G09,MVLA,33438,18,14,0,4,46,2.56,52,9,43,G2009,ECNL
2,San Juan SC ECNL G09,San Juan Soccer Club,31488,18,12,1,5,41,2.28,50,12,38,G2009,ECNL
3,Bay Area Surf ECNL G09,Bay Area Surf,69035,18,12,2,4,40,2.22,44,14,30,G2009,ECNL
4,Davis Legacy ECNL G09,Davis Legacy Soccer Club,60301,18,10,7,1,31,1.72,37,36,1,G2009,ECNL
5,Marin FC ECNL G09,Marin FC,56277,18,8,6,4,28,1.56,28,22,6,G2009,ECNL
6,Mustang SC ECNL G09,Mustang Soccer,31328,18,5,7,6,21,1.17,10,21,-11,G2009,ECNL
7,Santa Rosa United ECNL G09,Santa Rosa United Soccer,49621,18,4,12,2,14,0.78,12,39,-27,G2009,ECNL
8,De Anza Force ECNL G09,Force,60044,18,3,13,2,11,0.61,14,46,-32,G2009,ECNL
9,Pleasanton RAGE ECNL G09,Pleasanton Rage,39256,18,2,12,4,10,0.56,7,27,-20,G2009,ECNL
10,Placer United ECNL G09,Placer United Soccer Club,68831,18,1,11,6,9,0.5,10,38,-28,G2009,ECNL
1,MVLA ECNL G10,MVLA,33633,18,16,0,2,50,2.78,112,4,108,G2010,ECNL
2,Bay Area Surf ECNL G10,Bay Area Surf,69036,18,14,2,2,44,2.44,70,15,55,G2010,ECNL
3,Mustang SC ECNL G10,Mustang Soccer,18712,18,12,2,4,40,2.22,70,5,65,G2010,ECNL
4,De Anza Force ECNL G10,Force,62271,18,12,6,0,36,2.0,51,22,29,G2010,ECNL
5,San Juan SC ECNL G10,San Juan Soccer Club,32669,18,9,6,3,30,1.67,46,27,19,G2010,ECNL
6,Placer United ECNL G10,Placer United Soccer Club,68832,18,7,9,2,23,1.28,17,48,-31,G2010,ECNL
7,Davis Legacy ECNL G10,Davis Legacy Soccer Club,69625,18,4,13,1,13,0.72,19,61,-42,G2010,ECNL
8,Pleasanton RAGE ECNL G10,Pleasanton Rage,44309,18,4,13,1,13,0.72,16,63,-47,G2010,ECNL
9,Santa Rosa United ECNL G10,Santa Rosa United Soccer,68674,18,3,13,2,11,0.61,19,81,-62,G2010,ECNL
10,Marin FC ECNL G10,Marin FC,62042,18,0,17,1,1,0.06,4,98,-94,G2010,ECNL
1,Mustang SC ECNL G11,Mustang Soccer,31529,18,15,1,2,47,2.61,58,9,49,G2011,ECNL
2,Bay Area Surf ECNL G11,Bay Area Surf,74987,18,15,2,1,46,2.56,65,12,53,G2011,ECNL
3,MVLA ECNL G11,MVLA,55477,18,14,2,2,44,2.44,68,16,52,G2011,ECNL
4,San Juan SC ECNL G11,San Juan Soccer Club,77003,18,9,7,2,29,1.61,39,24,15,G2011,ECNL
5,De Anza Force ECNL G11,Force,69022,18,7,6,5,26,1.44,38,22,16,G2011,ECNL
6,Davis Legacy ECNL G11,Davis Legacy Soccer Club,81189,18,6,10,2,20,1.11,30,51,-21,G2011,ECNL
7,Placer United ECNL G11,Placer United Soccer Club,81251,18,5,11,2,17,0.94,13,34,-21,G2011,ECNL
