rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bay Area Surf ECNL G07/06,Bay Area Surf,65152,18,17,1,0,51,2.83,66,8,58
2,San Juan SC ECNL G07/06,San Juan Soccer Club,35173,18,16,1,1,49,2.72,67,11,56
3,MVLA ECNL G07/06,MVLA,35169,18,13,3,2,41,2.28,54,15,39
4,Placer United ECNL G07/06,Placer United Soccer Club,68830,18,11,7,0,33,1.83,30,16,14
5,Mustang SC ECNL G07/06,Mustang Soccer,18803,17,8,9,0,24,1.41,35,39,-4
6,De Anza Force ECNL G07/06,Force,45842,17,6,8,3,21,1.24,22,23,-1
7,Davis Legacy ECNL G07/06,Davis Legacy Soccer Club,21335,18,6,11,1,19,1.06,27,43,-16
8,Pleasanton RAGE ECNL G07/06,Pleasanton Rage,35170,18,3,14,1,10,0.56,16,57,-41
9,Santa Rosa United ECNL G07/06,Santa Rosa United Soccer,35174,18,3,15,0,9,0.5,12,79,-67
10,Marin FC ECNL G07/06,Marin FC,35162,18,1,15,2,5,0.28,9,47,-38
