rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Mustang SC ECNL G11,Mustang Soccer,31529,18,15,1,2,47,2.61,58,9,49
2,Bay Area Surf ECNL G11,Bay Area Surf,74987,18,15,2,1,46,2.56,65,12,53
3,MVLA ECNL G11,MVLA,55477,18,14,2,2,44,2.44,68,16,52
4,San Juan SC ECNL G11,San Juan Soccer Club,77003,18,9,7,2,29,1.61,39,24,15
5,De Anza Force ECNL G11,Force,69022,18,7,6,5,26,1.44,38,22,16
6,Davis Legacy ECNL G11,Davis Legacy Soccer Club,81189,18,6,10,2,20,1.11,30,51,-21
7,Placer United ECNL G11,Placer United Soccer Club,81251,18,5,11,2,17,0.94,13,34,-21
8,Pleasanton RAGE ECNL G11,Pleasanton Rage,44313,18,4,12,2,14,0.78,14,67,-53
9,Santa Rosa United ECNL G11,Santa Rosa United Soccer,77797,18,2,14,2,8,0.44,14,63,-49
10,Marin FC ECNL G11,Marin FC,82192,18,2,14,2,8,0.44,13,54,-41
