rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Mustang SC ECNL G12,Mustang Soccer,29444,18,15,0,3,48,2.67,86,12,74
2,MVLA ECNL G12,MVLA,55325,18,14,1,3,45,2.5,65,8,57
3,Placer United ECNL G12,Placer United Soccer Club,68030,18,11,3,4,37,2.06,37,20,17
4,Bay Area Surf ECNL G12,Bay Area Surf,95449,18,12,6,0,36,2.0,52,25,27
5,San Juan SC ECNL G12,San Juan Soccer Club,84677,18,8,6,4,28,1.56,40,22,18
6,Santa Rosa United ECNL G12 ,Santa Rosa United Soccer,68207,18,7,7,4,25,1.39,31,30,1
7,Davis Legacy ECNL G12,Davis Legacy Soccer Club,90732,18,5,10,3,18,1.0,18,54,-36
8,Marin FC ECNL G12,Marin FC,92794,18,2,13,3,9,0.5,15,49,-34
9,Pleasanton RAGE ECNL G12,Pleasanton Rage,63606,18,2,15,1,7,0.39,6,59,-53
10,De Anza Force ECNL G12,Force,94620,18,1,16,1,4,0.22,5,76,-71
