rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Cleveland Force SC ECNL G2013/14,Cleveland Force SC,81549,0,0,0,0,0,0.0,0,0,0
2,FC Alliance TN ECNL G2013/14,FC Alliance TN,134638,0,0,0,0,0,0.0,0,0,0
3,FC Pride Elite ECNL G2013/14,FC Pride,81294,0,0,0,0,0,0.0,0,0,0
4,GTFC Impact ECNL G2013/14,GTFC Impact,108214,0,0,0,0,0,0.0,0,0,0
5,Indy Eleven ECNL G2013/14,Indy Eleven Academy,82333,0,0,0,0,0,0.0,0,0,0
6,Internationals SC ECNL G2013/2014,Internationals SC,71160,0,0,0,0,0,0.0,0,0,0
7,Ohio Elite SA ECNL G2013/14,Ohio Elite Soccer Academy,69943,0,0,0,0,0,0.0,0,0,0
8,Ohio Premier ECNL G2013/14,Ohio Premier,81322,0,0,0,0,0,0.0,0,0,0
9,Pittsburgh Riverhounds ECNL G2013/14,Pittsburgh Riverhounds,82462,0,0,0,0,0,0.0,0,0,0
10,Racing Louisville Academy ECNL G2013/14,LouCity / Racing Youth Academy,132995,0,0,0,0,0,0.0,0,0,0
11,Tennessee SC ECNL G2013/14,Tennessee SC,133462,0,0,0,0,0,0.0,0,0,0
12,WNY Flash ECNL G2013/14,WNY Flash Academy,111880,0,0,0,0,0,0.0,0,0,0
