rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Alliance TN ECNL G2011/12,FC Alliance TN,134640,0,0,0,0,0,0.0,0,0,0
2,FC Pride Elite ECNL G2011/12,FC Pride,59612,0,0,0,0,0,0.0,0,0,0
3,Indy Eleven ECNL G2011/12,Indy Eleven Academy,95897,0,0,0,0,0,0.0,0,0,0
4,Ohio Elite SA ECNL G2011/12,Ohio Elite Soccer Academy,59470,0,0,0,0,0,0.0,0,0,0
5,Racing Louisville Academy ECNL G2011/12,LouCity / Racing Youth Academy,133000,0,0,0,0,0,0.0,0,0,0
6,Tennessee SC ECNL G2011/12,Tennessee SC,133464,0,0,0,0,0,0.0,0,0,0
