rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Cleveland Force SC ECNL G2011/12,Cleveland Force SC,60141,0,0,0,0,0,0.0,0,0,0
2,GTFC Impact ECNL G2011/12,GTFC Impact,108211,0,0,0,0,0,0.0,0,0,0
3,Internationals SC ECNL G2011/2012,Internationals SC,61433,0,0,0,0,0,0.0,0,0,0
4,Ohio Premier ECNL G2011/12,Ohio Premier,71333,0,0,0,0,0,0.0,0,0,0
5,Pittsburgh Riverhounds ECNL G2011/12,Pittsburgh Riverhounds,69761,0,0,0,0,0,0.0,0,0,0
6,WNY Flash ECNL G2011/12,WNY Flash Academy,61753,0,0,0,0,0,0.0,0,0,0
