rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Cleveland Force SC ECNL G2013/14,Cleveland Force SC,81549,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
2,FC Alliance TN ECNL G2013/14,FC Alliance TN,134638,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
3,FC Pride Elite ECNL G2013/14,FC Pride,81294,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
4,GTFC Impact ECNL G2013/14,GTFC Impact,108214,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
5,Indy Eleven ECNL G2013/14,Indy Eleven Academy,82333,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
6,Internationals SC ECNL G2013/2014,Internationals SC,71160,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
7,Ohio Elite SA ECNL G2013/14,Ohio Elite Soccer Academy,69943,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
8,Ohio Premier ECNL G2013/14,Ohio Premier,81322,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,Pittsburgh Riverhounds ECNL G2013/14,Pittsburgh Riverhounds,82462,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
10,Racing Louisville Academy ECNL G2013/14,LouCity / Racing Youth Academy,132995,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
11,Tennessee SC ECNL G2013/14,Tennessee SC,133462,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
12,WNY Flash ECNL G2013/14,WNY Flash Academy,111880,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
1,Cleveland Force SC ECNL G2012/13,Cleveland Force SC,71387,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
2,FC Alliance TN ECNL G2012/13,FC Alliance TN,134639,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
3,FC Pride Elite ECNL G2012/13,FC Pride,68813,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
4,GTFC Impact ECNL G2012/13,GTFC Impact,108213,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
5,Indy Eleven ECNL G2012/13,Indy Eleven Academy,72343,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
6,Internationals SC ECNL G2012/2013,Internationals SC,69614,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,Ohio Elite SA ECNL G2012/13,Ohio Elite Soccer Academy,69457,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,Ohio Premier ECNL G2012/13,Ohio Premier,80685,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
9,Pittsburgh Riverhounds ECNL G2012/13,Pittsburgh Riverhounds,69760,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
10,Racing Louisville Academy ECNL G2012/13,LouCity / Racing Youth Academy,132998,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
11,Tennessee SC ECNL G2012/13,Tennessee SC,133463,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
12,WNY Flash ECNL G2012/13,WNY Flash Academy,71192,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
1,FC Alliance TN ECNL G2011/12,FC Alliance TN,134640,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
2,FC Pride Elite ECNL G2011/12,FC Pride,59612,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
3,Indy Eleven ECNL G2011/12,Indy Eleven Academy,95897,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
4,Ohio Elite SA ECNL G2011/12,Ohio Elite Soccer Academy,59470,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
5,Racing Louisville Academy ECNL G2011/12,LouCity / Racing Youth Academy,133000,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
6,Tennessee SC ECNL G2011/12,Tennessee SC,133464,0,0,0,0,0,0.0,0,0,0,GU15,SOUTH
1,Cleveland Force SC ECNL G2011/12,Cleveland Force SC,60141,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
2,GTFC Impact ECNL G2011/12,GTFC Impact,108211,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
3,Internationals SC ECNL G2011/2012,Internationals SC,61433,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
4,Ohio Premier ECNL G2011/12,Ohio Premier,71333,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
5,Pittsburgh Riverhounds ECNL G2011/12,Pittsburgh Riverhounds,69761,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
6,WNY Flash ECNL G2011/12,WNY Flash Academy,61753,0,0,0,0,0,0.0,0,0,0,GU15,NORTH
1,FC Alliance TN ECNL G2010/11,FC Alliance TN,134641,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
2,FC Pride Elite ECNL G2010/11,FC Pride,45765,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
3,Indy Eleven ECNL G2010/11,Indy Eleven Academy,84176,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
4,Ohio Elite SA ECNL G2010/11,Ohio Elite Soccer Academy,69945,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
5,Racing Louisville Academy ECNL G2010/11,LouCity / Racing Youth Academy,133002,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
6,Tennessee SC ECNL G2010/11,Tennessee SC,133465,0,0,0,0,0,0.0,0,0,0,GU16,SOUTH
1,Cleveland Force SC ECNL G2010/11,Cleveland Force SC,60170,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
2,GTFC Impact ECNL G2010/11,GTFC Impact,108210,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
3,Internationals SC ECNL G2010/2011,Internationals SC,54724,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
4,Ohio Premier ECNL G2010/11,Ohio Premier,65017,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
5,Pittsburgh Riverhounds ECNL G2010/11,Pittsburgh Riverhounds,82213,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
6,WNY Flash ECNL G2010/11,WNY Flash Academy,36933,0,0,0,0,0,0.0,0,0,0,GU16,NORTH
1,FC Alliance TN ECNL G2009/10,FC Alliance TN,134642,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
2,FC Pride Elite ECNL G2009/10,FC Pride,45767,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
3,Indy Eleven ECNL G2009/10,Indy Eleven Academy,46996,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
4,Ohio Elite SA ECNL G2009/10,Ohio Elite Soccer Academy,47009,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
5,Racing Louisville Academy ECNL G2009/10,LouCity / Racing Youth Academy,133004,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
6,Tennessee SC ECNL G2009/10,Tennessee SC,133466,0,0,0,0,0,0.0,0,0,0,GU17,SOUTH
