rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,World Class FC ECNL G10,World Class FC,14328,14,11,3,0,33,2.36,34,12,22
2,SUSA FC ECNL G10,SUSA FC,59680,14,10,3,1,31,2.21,26,8,18
3,Connecticut FC ECNL G10,Connecticut FC,68939,14,8,3,3,27,1.93,30,23,7
4,FC Stars Blue ECNL G10,FC Stars,46955,14,8,6,0,24,1.71,30,18,12
5,FC Stars White ECNL G10,FC Stars,46951,14,7,5,2,23,1.64,20,19,1
6,Scorpions SC ECNL G10,Scorpions SC,59799,14,3,8,3,12,0.86,19,32,-13
7,FSA FC ECNL G10,FSA FC,60791,14,2,11,1,7,0.5,9,33,-24
8,East Meadow SC ECNL G10,East Meadow Soccer Club,60351,14,2,12,0,6,0.43,14,37,-23
