rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Stars Blue ECNL G06/05,FC Stars,19892,14,11,1,2,35,2.5,32,5,27
2,Connecticut FC ECNL G06/05,Connecticut FC,11478,13,10,3,0,30,2.31,27,17,10
3,World Class FC ECNL G06/05,World Class FC,20357,14,7,4,3,24,1.71,24,21,3
4,East Meadow SC ECNL G06/05,East Meadow Soccer Club,35275,14,7,5,2,23,1.64,23,23,0
5,Scorpions SC ECNL G06/05,Scorpions SC,20355,14,6,5,3,21,1.5,24,18,6
6,SUSA FC ECNL G06/05,SUSA FC,20356,13,2,7,4,10,0.77,12,21,-9
7,FSA FC ECNL G06/05,FSA FC,9180,13,2,9,2,8,0.62,13,24,-11
8,FC Stars White ECNL G06/05,FC Stars,11665,13,0,11,2,2,0.15,7,33,-26
