rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,FC Stars Blue ECNL G06/05,FC Stars,19892,14,11,1,2,35,2.5,32,5,27,G2006/2005,ECNL
2,Connecticut FC ECNL G06/05,Connecticut FC,11478,13,10,3,0,30,2.31,27,17,10,G2006/2005,ECNL
3,World Class FC ECNL G06/05,World Class FC,20357,14,7,4,3,24,1.71,24,21,3,G2006/2005,ECNL
4,East Meadow SC ECNL G06/05,East Meadow Soccer Club,35275,14,7,5,2,23,1.64,23,23,0,G2006/2005,ECNL
5,Scorpions SC ECNL G06/05,Scorpions SC,20355,14,6,5,3,21,1.5,24,18,6,G2006/2005,ECNL
6,SUSA FC ECNL G06/05,SUSA FC,20356,13,2,7,4,10,0.77,12,21,-9,G2006/2005,ECNL
7,FSA FC ECNL G06/05,FSA FC,9180,13,2,9,2,8,0.62,13,24,-11,G2006/2005,ECNL
8,FC Stars White ECNL G06/05,FC Stars,11665,13,0,11,2,2,0.15,7,33,-26,G2006/2005,ECNL
1,FC Stars Blue ECNL G07,FC Stars,19883,14,11,2,1,34,2.43,35,9,26,G2007,ECNL
2,SUSA FC ECNL G07,SUSA FC,33738,14,10,2,2,32,2.29,38,13,25,G2007,ECNL
3,World Class FC ECNL G07,World Class FC,35284,14,9,3,2,29,2.07,31,19,12,G2007,ECNL
4,Connecticut FC ECNL G07,Connecticut FC,24089,14,6,5,3,21,1.5,24,17,7,G2007,ECNL
5,FC Stars White ECNL G07,FC Stars,20345,14,7,7,0,21,1.5,20,22,-2,G2007,ECNL
6,Scorpions SC ECNL G07,No Club Selection,35282,14,5,7,2,17,1.21,24,23,1,G2007,ECNL
7,FSA FC ECNL G07,FSA FC,14745,14,2,12,0,6,0.43,10,49,-39,G2007,ECNL
8,East Meadow SC ECNL G07,East Meadow Soccer Club,35274,14,1,13,0,3,0.21,5,35,-30,G2007,ECNL
1,FC Stars Blue ECNL G08,FC Stars,35278,14,12,1,1,37,2.64,41,11,30,G2008,ECNL
2,World Class FC ECNL G08,World Class FC,36640,14,10,1,3,33,2.36,28,9,19,G2008,ECNL
3,Connecticut FC ECNL G08,Connecticut FC,46829,14,7,3,4,25,1.79,21,12,9,G2008,ECNL
4,SUSA FC ECNL G08,SUSA FC,14509,14,7,6,1,22,1.57,27,16,11,G2008,ECNL
5,Scorpions SC ECNL G08,Scorpions SC,46961,14,6,6,2,20,1.43,20,19,1,G2008,ECNL
6,FSA FC ECNL G08,FSA FC,25539,14,3,9,2,11,0.79,15,27,-12,G2008,ECNL
7,East Meadow SC ECNL G08,East Meadow Soccer Club,36634,14,2,11,1,7,0.5,6,31,-25,G2008,ECNL
8,FC Stars White ECNL G08,FC Stars,21552,14,1,11,2,5,0.36,8,41,-33,G2008,ECNL
1,FC Stars Blue ECNL G09,FC Stars,36636,14,10,2,2,32,2.29,24,13,11,G2009,ECNL
2,SUSA FC ECNL G09,SUSA FC,46963,14,9,2,3,30,2.14,23,5,18,G2009,ECNL
3,World Class FC  ECNL G09,World Class FC,46959,14,8,1,5,29,2.07,28,8,20,G2009,ECNL
4,Scorpions SC ECNL G09,Scorpions SC,36639,14,7,2,5,26,1.86,18,9,9,G2009,ECNL
5,FSA FC ECNL G09,FSA FC,46953,14,4,9,1,13,0.93,15,31,-16,G2009,ECNL
6,Connecticut FC ECNL G09,Connecticut FC,47024,14,4,9,1,13,0.93,14,23,-9,G2009,ECNL
7,East Meadow SC ECNL G09,East Meadow Soccer Club,46957,14,3,9,2,11,0.79,12,26,-14,G2009,ECNL
8,FC Stars White ECNL G09,FC Stars,36635,14,1,12,1,4,0.29,7,26,-19,G2009,ECNL
1,World Class FC ECNL G10,World Class FC,14328,14,11,3,0,33,2.36,34,12,22,G2010,ECNL
2,SUSA FC ECNL G10,SUSA FC,59680,14,10,3,1,31,2.21,26,8,18,G2010,ECNL
3,Connecticut FC ECNL G10,Connecticut FC,68939,14,8,3,3,27,1.93,30,23,7,G2010,ECNL
4,FC Stars Blue ECNL G10,FC Stars,46955,14,8,6,0,24,1.71,30,18,12,G2010,ECNL
5,FC Stars White ECNL G10,FC Stars,46951,14,7,5,2,23,1.64,20,19,1,G2010,ECNL
6,Scorpions SC ECNL G10,Scorpions SC,59799,14,3,8,3,12,0.86,19,32,-13,G2010,ECNL
7,FSA FC ECNL G10,FSA FC,60791,14,2,11,1,7,0.5,9,33,-24,G2010,ECNL
8,East Meadow SC ECNL G10,East Meadow Soccer Club,60351,14,2,12,0,6,0.43,14,37,-23,G2010,ECNL
1,SUSA FC ECNL G11,SUSA FC,59943,14,12,1,1,37,2.64,41,4,37,G2011,ECNL
2,East Meadow SC ECNL G11,East Meadow Soccer Club,60352,14,10,2,2,32,2.29,37,9,28,G2011,ECNL
3,FC Stars Blue ECNL G11,FC Stars,61500,14,9,3,2,29,2.07,30,10,20,G2011,ECNL
4,World Class FC ECNL G11,World Class FC,40890,14,8,5,1,25,1.79,28,16,12,G2011,ECNL
5,Connecticut FC ECNL G11,Connecticut FC,82324,14,6,8,0,18,1.29,19,35,-16,G2011,ECNL
6,FSA FC ECNL  G11,FSA FC,60789,13,2,9,2,8,0.62,4,28,-24,G2011,ECNL
7,Scorpions SC ECNL G11,Scorpions SC,69533,13,2,9,2,8,0.62,5,22,-17,G2011,ECNL
8,FC Stars White ECNL G11,FC Stars,61270,14,0,12,2,2,0.14,4,44,-40,G2011,ECNL
