rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Alliance ECNL G08,FC Alliance TN,46371,16,12,4,0,36,2.25,28,12,16
2,Ohio Elite Soccer Academy ECNL G08,Ohio Elite Soccer Academy,46798,16,10,2,4,34,2.13,36,14,22
3,Tennessee Soccer Club ECNL G08,Tennessee SC,46804,16,6,6,4,22,1.38,20,23,-3
4,Racing Louisville Academy ECNL G08,Racing Louisville Academy,45893,16,5,6,5,20,1.25,17,23,-6
5,Indy Eleven Pro Academy ECNL G08,Indy Eleven Academy,46796,16,4,7,5,17,1.06,15,20,-5
6,FC Pride Elite ECNL G08,No Club Selection,46794,16,4,10,2,14,0.88,19,35,-16
