rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Ohio Elite Soccer Academy ECNL G06/05,Ohio Elite Soccer Academy,20365,15,12,3,0,36,2.4,60,32,28
2,Tennessee Soccer Club ECNL G06/05,Tennessee SC,20371,16,10,2,4,34,2.13,58,26,32
3,FC Alliance ECNL G06/05,FC Alliance TN,20358,16,7,6,3,24,1.5,31,30,1
4,Racing Louisville Academy ECNL G06/05,Racing Louisville Academy,45895,16,5,9,2,17,1.06,23,39,-16
5,Indy Eleven Pro Academy ECNL G06/05,Indy Eleven Academy,20361,16,4,7,5,17,1.06,20,47,-27
6,FC Pride Elite ECNL G06/05,No Club Selection,11110,15,2,8,5,11,0.73,11,31,-20
