rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL G07,Internationals SC,35240,16,13,1,2,41,2.56,82,23,59
2,Cleveland Force SC ECNL G07,Cleveland Force SC,46989,16,8,2,6,30,1.88,46,22,24
3,Ohio Premier ECNL G07,Ohio Premier,33377,16,8,6,2,26,1.63,37,26,11
4,WNY Flash ECNL G07,WNY Flash Academy,35279,16,7,4,5,26,1.63,33,26,7
5,Pittsburgh Riverhounds ECNL G07,No Club Selection,35276,16,8,6,2,26,1.63,32,26,6
6,Kings Hammer SC ECNL G07, Kings Hammer Columbus,47018,16,1,15,0,3,0.19,16,67,-51
