rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
6,Racing Louisville Academy  ECNL G10,Racing Louisville Academy,60642,16,4,8,4,16,1.0,26,35,-9,G2010,SOUTH
1,Cleveland Force SC ECNL G11,Cleveland Force SC,60170,16,10,1,5,35,2.19,40,18,22,G2011,NORTH
2,Internationals SC ECNL G11,Internationals SC,54724,16,9,3,4,31,1.94,23,17,6,G2011,NORTH
3,WNY Flash ECNL G11,WNY Flash Academy,36933,16,9,5,2,29,1.81,31,13,18,G2011,NORTH
4,Ohio Premier ECNL G11,Ohio Premier,65017,16,8,3,5,29,1.81,28,16,12,G2011,NORTH
5,Kings Hammer SC ECNL G11, Kings Hammer Columbus,52788,16,6,6,4,22,1.38,20,15,5,G2011,NORTH
6,Pittsburgh Riverhounds ECNL G11,Pittsburgh Riverhounds,82213,16,3,12,1,10,0.63,15,52,-37,G2011,NORTH
1,Tennessee Soccer Club ECNL G11,Tennessee SC,82416,16,12,1,3,39,2.44,49,15,34,G2011,SOUTH
2,FC Alliance ECNL G11,FC Alliance TN,59429,16,5,5,6,21,1.31,32,25,7,G2011,SOUTH
3,Indy Eleven Pro Academy ECNL G11,Indy Eleven Academy,51443,16,4,7,5,17,1.06,13,22,-9,G2011,SOUTH
4,FC Pride Elite ECNL G11,FC Pride,45765,16,3,10,3,12,0.75,15,37,-22,G2011,SOUTH
5,Racing Louisville Academy ECNL G11,Racing Louisville Academy,60641,16,2,9,5,11,0.69,22,35,-13,G2011,SOUTH
6,Ohio Elite Soccer Academy ECNL G11,Ohio Elite Soccer Academy,69945,16,2,11,3,9,0.56,17,40,-23,G2011,SOUTH
