rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,La Roca FC ECNL G09,La Roca FC,45847,18,14,2,2,44,2.44,46,9,37
2,XF Academy ECNL G09,Crossfire Premier,60436,18,10,4,4,34,1.89,33,16,17
3,Portland Thorns ECNL G09,Portland Thorns FC,59582,18,8,6,4,28,1.56,37,22,15
4,Seattle United ECNL G09,Seattle United,56728,18,8,6,4,28,1.56,26,25,1
5,Washington Premier ECNL G09,Washington Premier FC,54576,18,7,5,6,27,1.5,23,22,1
6,Oregon Surf ECNL G09,Oregon Surf SC,90907,18,5,7,6,21,1.17,18,26,-8
7,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,18,6,10,2,20,1.11,24,33,-9
8,Utah Avalanche ECNL G09,Utah Avalanche,58149,18,6,10,2,20,1.11,23,40,-17
9,Eastside FC ECNL G09,Eastside FC (WA),59855,18,4,9,5,17,0.94,21,28,-7
10,PacNW SC ECNL G09,PacNW,46755,18,3,12,3,12,0.67,18,48,-30
