rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eastside FC ECNL G10,Eastside FC (WA),69451,18,13,2,3,42,2.33,31,15,16
2,XF Academy ECNL G10,Crossfire Premier,62279,18,12,4,2,38,2.11,32,16,16
3,La Roca FC ECNL G10,La Roca FC,69014,18,11,4,3,36,2.0,40,15,25
4,Portland Thorns ECNL G10,Portland Thorns FC,69551,18,10,6,2,32,1.78,34,17,17
5,Utah Avalanche ECNL G10,Utah Avalanche,69486,18,9,5,4,31,1.72,33,21,12
6,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,18,6,8,4,22,1.22,21,25,-4
7,Oregon Surf ECNL G10,Oregon Surf SC,90908,18,5,11,2,17,0.94,24,43,-19
8,Washington Premier ECNL G10,Washington Premier FC,68860,18,3,11,4,13,0.72,21,36,-15
9,Seattle United ECNL G10,Seattle United,62229,18,3,11,4,13,0.72,18,38,-20
10,PacNW SC ECNL G10,PacNW,68795,18,2,12,4,10,0.56,17,45,-28
