rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Portland Thorns ECNL G13,Portland Thorns FC,110034,18,15,1,2,47,2.61,49,6,43
2,XF Academy ECNL G13,Crossfire Premier,104549,18,13,2,3,42,2.33,59,9,50
3,Eastside FC ECNL G13,Eastside FC (WA),90882,18,13,4,1,40,2.22,44,9,35
4,Utah Avalanche ECNL G13,Utah Avalanche,103936,18,11,4,3,36,2.0,27,12,15
5,Washington Premier ECNL G13,Washington Premier FC,99088,18,11,6,1,34,1.89,41,17,24
6,Oregon Surf ECNL G13,Oregon Surf SC,90916,18,8,9,1,25,1.39,23,30,-7
7,Seattle United ECNL G13,Seattle United,103559,18,6,10,2,20,1.11,22,27,-5
8,Boise Thorns FC ECNL G13,Boise Timbers | Thorns,115480,18,1,13,4,7,0.39,12,72,-60
9,La Roca FC ECNL G13,La Roca FC,117540,18,1,15,2,5,0.28,6,49,-43
10,PacNW SC ECNL G13,PacNW,104642,18,0,15,3,3,0.17,6,58,-52
