rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G08/07,No Club Selection,21818,18,15,0,3,48,2.67,71,6,65
2,Boise Thorns FC ECNL G08/07,Boise Timbers | Thorns,46756,18,9,3,6,33,1.83,24,15,9
3,Portland Thorns ECNL G08/07,Portland Thorns FC,45861,18,9,3,6,33,1.83,23,18,5
4,Utah Avalanche ECNL G08/07,Utah Avalanche,46754,18,8,8,2,26,1.44,22,31,-9
5,La Roca FC ECNL G08/07,La Roca FC,45848,18,6,8,4,22,1.22,20,21,-1
6,Oregon Surf ECNL G08/07,Oregon Surf SC,90903,18,6,10,2,20,1.11,20,29,-9
7,Seattle United ECNL G08/07,Seattle United,39162,18,5,9,4,19,1.06,20,28,-8
8,Eastside FC ECNL G08/07,Eastside FC (WA),46753,18,5,9,4,19,1.06,24,41,-17
9,Washington Premier ECNL G08/07,Washington Premier FC,39098,18,3,8,7,16,0.89,17,35,-18
10,PacNW SC ECNL G08/07,PacNW,35172,18,4,12,2,14,0.78,18,35,-17
