rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G09,PDA Blue (North),13678,13,12,1,0,36,2.77,38,4,34
2,Match Fit Academy ECNL G09,Match Fit Surf,46947,13,10,2,1,31,2.38,36,12,24
3,Penn Fusion SA ECNL G09,Penn Fusion Soccer Academy,46945,13,10,2,1,31,2.38,30,6,24
4,HEX FC Bucks ECNL G09,HEX FC,46941,13,7,5,1,22,1.69,25,18,7
5,FC DELCO ECNL G09,FC DELCO,46942,13,5,3,5,20,1.54,24,14,10
6,Pipeline SC ECNL G09,Pipeline SC,46948,13,4,8,1,13,1.0,11,27,-16
7,Maryland United FC ECNL G09,Maryland United Football Club,46944,13,3,6,4,13,1.0,9,15,-6
8,PDA White ECNL G09,PDA White (Shore),13679,13,2,8,3,9,0.69,9,29,-20
9,Bethesda SC ECNL G09,Bethesda SC,46940,13,1,10,2,5,0.38,5,36,-31
10,PDA South ECNL G09,PDA South,11436,13,0,9,4,4,0.31,3,29,-26
