rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G06/05,PDA Blue (North),1822,13,10,3,0,30,2.31,34,7,27
2,Penn Fusion SA ECNL G06/05,Penn Fusion Soccer Academy,44735,13,9,2,2,29,2.23,33,16,17
3,Bethesda SC ECNL G06/05,Bethesda SC,20341,13,9,3,1,28,2.15,38,15,23
4,Match Fit Academy ECNL G06/05,Match Fit Surf,20347,13,8,2,3,27,2.08,25,13,12
5,Maryland United FC ECNL G06/05,No Club Selection,20346,13,7,5,1,22,1.69,29,19,10
6,FC DELCO ECNL G06/05,FC DELCO,12576,13,6,4,3,21,1.62,29,21,8
7,PDA South ECNL G06/05,PDA South,1841,13,5,7,1,16,1.23,24,24,0
8,PDA White ECNL G06/05,Players Development Academy,1827,12,3,9,0,9,0.75,9,23,-14
9,Pipeline SC ECNL G06/05,Pipeline SC,45829,12,1,10,1,4,0.33,6,30,-24
10,HEX FC Bucks ECNL G06/05,HEX FC,20344,13,0,13,0,0,0.0,4,63,-59
