rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G10,Bethesda SC,60101,18,14,3,1,43,2.39,45,11,34
2,Penn Fusion SA ECNL G10,Penn Fusion Soccer Academy,59666,18,12,1,5,41,2.28,60,7,53
3,PDA Blue ECNL G10,PDA Blue (North),56324,18,13,4,1,40,2.22,45,16,29
4,Match Fit Academy ECNL G10,Match Fit Surf,21396,18,12,5,1,37,2.06,48,24,24
5,FC DELCO ECNL G10,FC DELCO,59671,18,11,4,3,36,2.0,35,16,19
6,PDA White ECNL G10,PDA White (Shore),35695,18,7,10,1,22,1.22,22,33,-11
7,PDA South ECNL G10,PDA South,20115,18,4,10,4,16,0.89,18,32,-14
8,HEX FC Bucks ECNL G10,HEX FC,58137,18,4,12,2,14,0.78,12,44,-32
9,Maryland United FC ECNL G10,Maryland United Football Club,62050,17,1,14,2,5,0.29,10,49,-39
10,Pipeline SC ECNL G10,Pipeline SC,53320,17,0,15,2,2,0.12,3,66,-63
