rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G11,Bethesda SC,69569,18,12,1,5,41,2.28,39,9,30
2,PDA Blue ECNL G11,PDA Blue (North),44465,18,10,3,5,35,1.94,32,12,20
3,Penn Fusion SA ECNL G11,Penn Fusion Soccer Academy,68841,18,10,5,3,33,1.83,31,20,11
4,Match Fit Academy ECNL G11,Match Fit Surf,34875,18,9,4,5,32,1.78,37,20,17
5,HEX FC Bucks ECNL G11,HEX FC,67902,18,9,5,4,31,1.72,28,21,7
6,FC DELCO ECNL G11,FC DELCO,68932,18,9,8,1,28,1.56,25,25,0
7,Pipeline SC ECNL G11,Pipeline SC,55341,17,4,9,4,16,0.94,20,36,-16
8,Maryland United FC ECNL G11,Maryland United Football Club,69710,17,3,7,7,16,0.94,15,23,-8
9,PDA South ECNL G11,PDA South,48114,18,1,13,4,7,0.39,10,40,-30
10,PDA White ECNL G11,PDA White (Shore),18651,18,1,13,4,7,0.39,10,41,-31
