rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,PDA Blue ECNL G06/05,PDA Blue (North),1822,13,10,3,0,30,2.31,34,7,27,G2006/2005,ECNL
2,Penn Fusion SA ECNL G06/05,Penn Fusion Soccer Academy,44735,13,9,2,2,29,2.23,33,16,17,G2006/2005,ECNL
3,Bethesda SC ECNL G06/05,Bethesda SC,20341,13,9,3,1,28,2.15,38,15,23,G2006/2005,ECNL
4,Match Fit Academy ECNL G06/05,Match Fit Surf,20347,13,8,2,3,27,2.08,25,13,12,G2006/2005,ECNL
5,Maryland United FC ECNL G06/05,No Club Selection,20346,13,7,5,1,22,1.69,29,19,10,G2006/2005,ECNL
6,FC DELCO ECNL G06/05,FC DELCO,12576,13,6,4,3,21,1.62,29,21,8,G2006/2005,ECNL
7,PDA South ECNL G06/05,PDA South,1841,13,5,7,1,16,1.23,24,24,0,G2006/2005,ECNL
8,PDA White ECNL G06/05,Players Development Academy,1827,12,3,9,0,9,0.75,9,23,-14,G2006/2005,ECNL
9,Pipeline SC ECNL G06/05,Pipeline SC,45829,12,1,10,1,4,0.33,6,30,-24,G2006/2005,ECNL
10,HEX FC Bucks ECNL G06/05,HEX FC,20344,13,0,13,0,0,0.0,4,63,-59,G2006/2005,ECNL
1,Penn Fusion SA ECNL G07,No Club Selection,44736,13,12,0,1,37,2.85,38,4,34,G2007,ECNL
2,PDA Blue ECNL G07,PDA Blue (North),1967,13,11,0,2,35,2.69,43,5,38,G2007,ECNL
3,Match Fit Academy ECNL G07,Match Fit Surf,34504,13,8,4,1,25,1.92,25,18,7,G2007,ECNL
4,PDA White ECNL G07,PDA White (Shore),6860,13,8,5,0,24,1.85,26,22,4,G2007,ECNL
5,FC DELCO ECNL G07,FC DELCO,12575,13,5,6,2,17,1.31,18,25,-7,G2007,ECNL
6,PDA South ECNL G07,PDA South,1840,13,3,6,4,13,1.0,9,15,-6,G2007,ECNL
7,Maryland United FC ECNL G07,No Club Selection,35283,13,3,7,3,12,0.92,10,20,-10,G2007,ECNL
8,Bethesda SC ECNL G07,Bethesda SC,35273,13,4,9,0,12,0.92,13,29,-16,G2007,ECNL
9,Pipeline SC ECNL G07,Pipeline SC,45828,13,1,9,3,6,0.46,8,33,-25,G2007,ECNL
10,HEX FC Bucks ECNL G07,HEX FC,33878,13,0,9,4,4,0.31,4,23,-19,G2007,ECNL
1,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,13,13,0,0,39,3.0,54,5,49,G2008,ECNL
2,PDA Blue ECNL G08,PDA Blue (North),3701,13,8,5,0,24,1.85,27,13,14,G2008,ECNL
3,FC DELCO ECNL G08,FC DELCO,36383,13,6,4,3,21,1.62,24,16,8,G2008,ECNL
4,Bethesda SC ECNL G08,Bethesda SC,46815,13,5,2,6,21,1.62,22,17,5,G2008,ECNL
5,Pipeline SC ECNL G08,Pipeline SC,45827,13,6,4,3,21,1.62,19,17,2,G2008,ECNL
6,Match Fit Academy ECNL G08,Match Fit Surf,34505,13,5,7,1,16,1.23,14,18,-4,G2008,ECNL
7,Maryland United FC ECNL G08,Maryland United Football Club,36637,13,3,6,4,13,1.0,9,21,-12,G2008,ECNL
8,PDA White ECNL G08,PDA White (Shore),11460,13,3,7,3,12,0.92,9,28,-19,G2008,ECNL
9,PDA South ECNL G08,PDA South,1815,13,3,9,1,10,0.77,10,24,-14,G2008,ECNL
10,HEX FC Bucks ECNL G08,HEX FC,26917,13,0,8,5,5,0.38,9,38,-29,G2008,ECNL
1,PDA Blue ECNL G09,PDA Blue (North),13678,13,12,1,0,36,2.77,38,4,34,G2009,ECNL
2,Match Fit Academy ECNL G09,Match Fit Surf,46947,13,10,2,1,31,2.38,36,12,24,G2009,ECNL
3,Penn Fusion SA ECNL G09,Penn Fusion Soccer Academy,46945,13,10,2,1,31,2.38,30,6,24,G2009,ECNL
4,HEX FC Bucks ECNL G09,HEX FC,46941,13,7,5,1,22,1.69,25,18,7,G2009,ECNL
5,FC DELCO ECNL G09,FC DELCO,46942,13,5,3,5,20,1.54,24,14,10,G2009,ECNL
6,Pipeline SC ECNL G09,Pipeline SC,46948,13,4,8,1,13,1.0,11,27,-16,G2009,ECNL
