rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G07,No Club Selection,44736,13,12,0,1,37,2.85,38,4,34
2,PDA Blue ECNL G07,PDA Blue (North),1967,13,11,0,2,35,2.69,43,5,38
3,Match Fit Academy ECNL G07,Match Fit Surf,34504,13,8,4,1,25,1.92,25,18,7
4,PDA White ECNL G07,PDA White (Shore),6860,13,8,5,0,24,1.85,26,22,4
5,FC DELCO ECNL G07,FC DELCO,12575,13,5,6,2,17,1.31,18,25,-7
6,PDA South ECNL G07,PDA South,1840,13,3,6,4,13,1.0,9,15,-6
7,Maryland United FC ECNL G07,No Club Selection,35283,13,3,7,3,12,0.92,10,20,-10
8,Bethesda SC ECNL G07,Bethesda SC,35273,13,4,9,0,12,0.92,13,29,-16
9,Pipeline SC ECNL G07,Pipeline SC,45828,13,1,9,3,6,0.46,8,33,-25
10,HEX FC Bucks ECNL G07,HEX FC,33878,13,0,9,4,4,0.31,4,23,-19
