rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Alabama FC ECNL G2013/14,Alabama FC,131379,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
2,Athletic Club Florida ECNL G2013/14,Athletic Club Florida,132224,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
3,Atlanta Fire United ECNL G2013/14,Atlanta Fire United,127664,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
4,CESA Liberty ECNL G2013/14,Carolina Elite Soccer Academy,106034,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
5,Concorde Fire Platinum ECNL G2013/14,Concorde Fire ,133392,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
6,Concorde Fire Premier ECNL G2013/14,Concorde Fire ,133400,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
7,Florida Kraze Krush ECNL G2013/14,Florida Kraze Krush,34961,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
8,Florida Premier FC ECNL G2013/14,Florida Premier FC,113740,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
9,GSA ECNL G2013/14,Gwinnett Soccer Academy,131501,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
10,Jacksonville FC ECNL G2013/14,Jacksonville FC,114707,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
11,Seminole United ECNL G2013/14,Seminole United,132964,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
12,South Carolina United ECNL G2013/14,South Carolina United FC,132215,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
13,Sporting SA JAX ECNL G2013/14,Sporting SA,113642,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
14,Tampa Bay United ECNL G2013/14,Tampa Bay United,112272,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
15,Team Boca ECNL G2013/14,Team Boca,132000,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
16,United Futbol Academy ECNL G2013/14,United Futbol Academy,120529,0,0,0,0,0,0.0,0,0,0,GU13,ECNL
1,Alabama FC ECNL G2012/13,Alabama FC,98886,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
2,Athletic Club Florida ECNL G2012/13,Athletic Club Florida,105806,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
3,Atlanta Fire United ECNL G2012/13,Atlanta Fire United,79849,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
4,CESA Liberty ECNL G2012/13,Carolina Elite Soccer Academy,87758,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
5,Concorde Fire Platinum ECNL G2012/13,Concorde Fire ,112295,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
6,Concorde Fire Premier ECNL G2012/13,Concorde Fire ,112296,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
7,Florida Kraze Krush ECNL G2012/13,Florida Kraze Krush,106035,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
8,Florida Premier FC ECNL G2012/13,Florida Premier FC,113726,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
9,GSA ECNL G2012/13,Gwinnett Soccer Academy,131500,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
10,Jacksonville FC ECNL G2012/13,Jacksonville FC,111248,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
11,Seminole United ECNL G2012/13,Seminole United,105992,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
12,South Carolina United ECNL G2012/13,South Carolina United FC,98643,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
13,Sporting SA JAX ECNL G2012/13,Sporting SA,94389,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
14,Tampa Bay United ECNL G2012/13,Tampa Bay United,112271,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
15,Team Boca ECNL G2012/13,Team Boca,131999,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
16,United Futbol Academy ECNL G2012/13,United Futbol Academy,105642,0,0,0,0,0,0.0,0,0,0,GU14,ECNL
1,Alabama FC ECNL G2011/12,Alabama FC,65968,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
2,Athletic Club Florida ECNL G2011/12,Athletic Club Florida,83371,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
3,Atlanta Fire United ECNL G2011/12,Atlanta Fire United,79871,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
4,CESA Liberty ECNL G2011/12,Carolina Elite Soccer Academy,78145,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
5,Concorde Fire Platinum ECNL G2011/12,Concorde Fire ,89731,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
6,Concorde Fire Premier ECNL G2011/12,Concorde Fire ,89720,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
7,Florida Kraze Krush ECNL G2011/12,Florida Kraze Krush,46056,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
8,Florida Premier FC ECNL G2011/12,Florida Premier FC,89665,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
9,GSA ECNL G2011/12,Gwinnett Soccer Academy,131499,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
10,Jacksonville FC ECNL G2011/12,Jacksonville FC,89659,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
11,Seminole United ECNL G2011/12,Seminole United,94621,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
12,South Carolina United ECNL G2011/12,South Carolina United FC,89551,0,0,0,0,0,0.0,0,0,0,GU15,ECNL
