rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Florida Kraze Krush ECNL G2011/12,Florida Kraze Krush,46056,2,2,0,0,6,3.0,9,2,7
2,Concorde Fire Platinum ECNL G2011/12,Concorde Fire ,89731,2,1,0,1,4,2.0,8,2,6
3,Athletic Club Florida ECNL G2011/12,Athletic Club Florida,83371,2,1,0,1,4,2.0,7,2,5
4,Florida Premier FC ECNL G2011/12,Florida Premier FC,89665,2,1,0,1,4,2.0,6,2,4
5,Jacksonville FC ECNL G2011/12,Jacksonville FC,89659,2,1,0,1,4,2.0,3,1,2
6,Team Boca ECNL G2011/12,Team Boca,131998,2,1,0,1,4,2.0,2,1,1
7,United Futbol Academy ECNL G2011/12,United Futbol Academy,81903,2,1,0,1,4,2.0,2,1,1
8,Atlanta Fire United ECNL G2011/12,Atlanta Fire United,79871,2,1,1,0,3,1.5,5,2,3
9,Concorde Fire Premier ECNL G2011/12,Concorde Fire ,89720,2,1,1,0,3,1.5,7,7,0
10,Alabama FC ECNL G2011/12,Alabama FC,65968,2,1,1,0,3,1.5,5,5,0
11,GSA ECNL G2011/12,Gwinnett Soccer Academy,131499,2,1,1,0,3,1.5,4,7,-3
12,CESA Liberty ECNL G2011/12,Carolina Elite Soccer Academy,78145,2,0,0,2,2,1.0,2,2,0
13,South Carolina United ECNL G2011/12,South Carolina United FC,89551,2,0,2,0,0,0.0,1,7,-6
14,Sporting SA JAX ECNL G2011/12,Sporting SA,69334,2,0,2,0,0,0.0,0,6,-6
15,Seminole United ECNL G2011/12,Seminole United,94621,2,0,2,0,0,0.0,3,10,-7
16,Tampa Bay United ECNL G2011/12,Tampa Bay United,69068,2,0,2,0,0,0.0,3,10,-7
