rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Alabama FC ECNL G2009/10,Alabama FC,69023,0,0,0,0,0,0.0,0,0,0
2,Athletic Club Florida ECNL G2009/10,Athletic Club Florida,46728,0,0,0,0,0,0.0,0,0,0
3,Atlanta Fire United ECNL G2009/10,Atlanta Fire United,67127,0,0,0,0,0,0.0,0,0,0
4,CESA Liberty ECNL G2009/10,Carolina Elite Soccer Academy,46817,0,0,0,0,0,0.0,0,0,0
5,Concorde Fire Platinum ECNL G2009/10,Concorde Fire ,68802,0,0,0,0,0,0.0,0,0,0
6,Concorde Fire Premier ECNL G2009/10,Concorde Fire ,68797,0,0,0,0,0,0.0,0,0,0
7,Florida Kraze Krush ECNL G2009/10,Florida Kraze Krush,34955,0,0,0,0,0,0.0,0,0,0
8,Florida Premier FC ECNL G2009/10,Florida Premier FC,69293,0,0,0,0,0,0.0,0,0,0
9,GSA ECNL G2009/10,Gwinnett Soccer Academy,131497,0,0,0,0,0,0.0,0,0,0
10,Jacksonville FC ECNL G2009/10,Jacksonville FC,69484,0,0,0,0,0,0.0,0,0,0
11,Seminole United ECNL G2009/10,Seminole United,69112,0,0,0,0,0,0.0,0,0,0
12,South Carolina United ECNL G2009/10,South Carolina United FC,66055,0,0,0,0,0,0.0,0,0,0
13,Sporting SA JAX ECNL G2009/10,Sporting SA,45064,0,0,0,0,0,0.0,0,0,0
14,Tampa Bay United ECNL G2009/10,Tampa Bay United,49144,0,0,0,0,0,0.0,0,0,0
15,Team Boca ECNL G2009/10,Team Boca,131996,0,0,0,0,0,0.0,0,0,0
16,United Futbol Academy ECNL G2009/10,United Futbol Academy,59536,0,0,0,0,0,0.0,0,0,0
