rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,United Futbol Academy ECNL G2013/14,United Futbol Academy,120529,2,2,0,0,6,3.0,9,0,9
2,Athletic Club Florida ECNL G2013/14,Athletic Club Florida,132224,2,2,0,0,6,3.0,8,2,6
3,Atlanta Fire United ECNL G2013/14,Atlanta Fire United,127664,2,2,0,0,6,3.0,5,0,5
4,Alabama FC ECNL G2013/14,Alabama FC,131379,2,2,0,0,6,3.0,4,1,3
5,GSA ECNL G2013/14,Gwinnett Soccer Academy,131501,2,1,0,1,4,2.0,5,3,2
6,Florida Premier FC ECNL G2013/14,Florida Premier FC,113740,2,1,0,1,4,2.0,5,4,1
7,Florida Kraze Krush ECNL G2013/14,Florida Kraze Krush,34961,2,1,1,0,3,1.5,5,3,2
8,Concorde Fire Platinum ECNL G2013/14,Concorde Fire ,133392,2,1,1,0,3,1.5,4,3,1
9,Seminole United ECNL G2013/14,Seminole United,132964,2,1,1,0,3,1.5,3,2,1
10,CESA Liberty ECNL G2013/14,Carolina Elite Soccer Academy,106034,2,1,1,0,3,1.5,3,3,0
11,Team Boca ECNL G2013/14,Team Boca,132000,2,0,1,1,1,0.5,2,4,-2
12,South Carolina United ECNL G2013/14,South Carolina United FC,132215,2,0,1,1,1,0.5,3,7,-4
13,Sporting SA JAX ECNL G2013/14,Sporting SA,113642,2,0,2,0,0,0.0,0,3,-3
14,Tampa Bay United ECNL G2013/14,Tampa Bay United,112272,2,0,2,0,0,0.0,1,5,-4
15,Concorde Fire Premier ECNL G2013/14,Concorde Fire ,133400,2,0,2,0,0,0.0,1,7,-6
16,Jacksonville FC ECNL G2013/14,Jacksonville FC,114707,2,0,2,0,0,0.0,0,11,-11
