rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G11,Solar SC,81882,15,13,0,2,41,2.73,63,7,56
2,FC Dallas ECNL G11,FC Dallas Youth,63889,15,13,1,1,40,2.67,71,8,63
3,Sting Dallas Black ECNL G11,Sting Soccer Club,80765,15,11,3,1,34,2.27,55,16,39
4,Real Colorado National ECNL G11,Real Colorado,81431,15,9,3,3,30,2.0,43,12,31
5,OK Energy FC ECNL G11,Oklahoma Energy FC,80774,15,8,6,1,25,1.67,33,28,5
6,Challenge SC ECNL G11,Challenge SC,79514,15,8,6,1,25,1.67,33,25,8
7,Tulsa SC ECNL G11,No Club Selection,42914,15,7,5,3,24,1.6,18,29,-11
8,Dallas Texans ECNL G11,Dallas Texans,81587,15,6,7,2,20,1.33,28,21,7
9,Albion Hurricanes FC ECNL G11,Albion Hurricanes FC,81918,15,6,7,2,20,1.33,36,34,2
10,Sting Dallas Royal ECNL G11,Sting Soccer Club,80240,15,5,5,5,20,1.33,17,22,-5
11,Sting Austin ECNL G11,Sting Austin,80047,15,5,8,2,17,1.13,15,38,-23
12,Classics Elite ECNL G11,Classics Elite Soccer Academy,44142,15,5,8,2,17,1.13,23,48,-25
13,Colorado Rapids ECNL G11,Colorado Storm,72334,15,5,10,0,15,1.0,15,37,-22
14,DKSC ECNL G11,DKSC,81104,15,3,11,1,10,0.67,15,34,-19
15,Real Colorado Athletico ECNL G11,Real Colorado,81521,15,3,12,0,9,0.6,18,46,-28
16,Pride SC ECNL G11,Pride SC,76044,15,0,15,0,0,0.0,5,83,-78
