rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G08,Solar SC,46791,15,12,2,1,37,2.47,59,11,48
2,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,15,11,1,3,36,2.4,43,6,37
3,Sting Austin ECNL G08,Sting Austin,46779,15,9,1,5,32,2.13,26,9,17
4,Real Colorado National ECNL G08,Real Colorado,45853,14,9,3,2,29,2.07,28,9,19
5,DKSC ECNL G08,No Club Selection,45734,15,9,3,3,30,2.0,27,21,6
6,FC Dallas ECNL G08,FC Dallas Youth,46900,14,7,3,4,25,1.79,22,13,9
7,OK Energy FC ECNL G08,Oklahoma Energy FC,59503,15,7,4,4,25,1.67,26,18,8
8,Albion Hurricanes FC ECNL G08,Albion Hurricanes FC,39582,13,6,4,3,21,1.62,19,12,7
9,Challenge SC ECNL G08,Challenge SC,44419,15,6,6,3,21,1.4,26,27,-1
10,Colorado Rapids ECNL G08,Colorado Storm,46752,15,4,7,4,16,1.07,16,18,-2
11,Sting Dallas Royal ECNL G08,Sting Soccer Club,22213,15,4,9,2,14,0.93,22,25,-3
12,Dallas Texans ECNL G08,Dallas Texans,45786,15,2,6,7,13,0.87,14,24,-10
13,Real Colorado Athletico ECNL G08,Real Colorado,46443,15,3,9,3,12,0.8,22,28,-6
14,Pride SC ECNL G08,Pride SC,35220,15,2,9,4,10,0.67,9,31,-22
15,Classics Elite ECNL G08,Classics Elite Soccer Academy,29192,15,2,11,2,8,0.53,8,49,-41
16,Tulsa SC ECNL G08,No Club Selection,44083,15,0,15,0,0,0.0,3,69,-66
