rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Solar SC ECNL G06/05,Solar SC,11423,15,13,0,2,41,2.73,57,15,42,G2006/2005,ECNL
2,FC Dallas ECNL G06/05,FC Dallas Youth,46784,15,12,1,2,38,2.53,54,10,44,G2006/2005,ECNL
3,Colorado Rapids ECNL G06/05,Colorado Storm,21349,15,9,2,4,31,2.07,38,18,20,G2006/2005,ECNL
4,OK Energy FC ECNL G06/05,Oklahoma Energy FC,59505,15,9,3,3,30,2.0,39,19,20,G2006/2005,ECNL
5,Real Colorado National ECNL G06/05,Real Colorado,45855,15,9,5,1,28,1.87,29,14,15,G2006/2005,ECNL
6,Sting Dallas Black ECNL G06/05,Sting Soccer Club,20412,15,7,4,4,25,1.67,40,21,19,G2006/2005,ECNL
7,DKSC ECNL G06/05,No Club Selection,19628,15,7,7,1,22,1.47,15,25,-10,G2006/2005,ECNL
8,Sting Dallas Royal ECNL G06/05,Sting Soccer Club,46274,14,6,6,2,20,1.43,20,18,2,G2006/2005,ECNL
9,Tulsa SC ECNL G06/05,No Club Selection,20413,15,6,7,2,20,1.33,30,31,-1,G2006/2005,ECNL
10,Challenge SC ECNL G06/05,Challenge SC,20382,14,5,7,2,17,1.21,27,29,-2,G2006/2005,ECNL
11,Dallas Texans ECNL G06/05,Dallas Texans,12268,14,5,7,2,17,1.21,18,31,-13,G2006/2005,ECNL
12,Albion Hurricanes FC ECNL G06/05,Albion Hurricanes FC,20381,15,5,8,2,17,1.13,13,30,-17,G2006/2005,ECNL
13,Classics Elite ECNL G06/05,Classics Elite Soccer Academy,20383,15,3,11,1,10,0.67,21,49,-28,G2006/2005,ECNL
14,Real Colorado Athletico ECNL G06/05,Real Colorado,46445,14,2,10,2,8,0.57,11,37,-26,G2006/2005,ECNL
15,Pride SC ECNL G06/05,No Club Selection,35222,15,2,12,1,7,0.47,10,40,-30,G2006/2005,ECNL
16,Sting Austin ECNL G06/05,Sting Austin,20411,15,1,11,3,6,0.4,5,40,-35,G2006/2005,ECNL
1,Solar SC ECNL G07,Solar SC,20122,15,15,0,0,45,3.0,81,3,78,G2007,ECNL
2,FC Dallas ECNL G07,FC Dallas Youth,46783,15,14,1,0,42,2.8,65,7,58,G2007,ECNL
3,Tulsa SC ECNL G07,No Club Selection,35234,15,11,2,2,35,2.33,35,15,20,G2007,ECNL
4,Real Colorado National ECNL G07,Real Colorado,45854,15,10,4,1,31,2.07,48,23,25,G2007,ECNL
5,OK Energy FC ECNL G07,Oklahoma Energy FC,59504,15,9,4,2,29,1.93,45,28,17,G2007,ECNL
6,Sting Dallas Black ECNL G07,Sting Soccer Club,12441,15,8,5,2,26,1.73,26,26,0,G2007,ECNL
7,DKSC ECNL G07,No Club Selection,35219,15,7,5,3,24,1.6,28,27,1,G2007,ECNL
8,Sting Austin ECNL G07,Sting Austin,35232,15,7,6,2,23,1.53,30,23,7,G2007,ECNL
9,Albion Hurricanes FC ECNL G07,Albion Hurricanes FC,35213,15,6,5,4,22,1.47,23,25,-2,G2007,ECNL
10,Challenge SC ECNL G07,Challenge SC,35214,15,4,10,1,13,0.87,23,32,-9,G2007,ECNL
11,Colorado Rapids ECNL G07,Colorado Storm,35218,15,4,10,1,13,0.87,13,41,-28,G2007,ECNL
12,Sting Dallas Royal ECNL G07,Sting Soccer Club,45801,15,3,9,3,12,0.8,14,33,-19,G2007,ECNL
13,Real Colorado Athletico ECNL G07,Real Colorado,46444,15,3,10,2,11,0.73,13,42,-29,G2007,ECNL
14,Dallas Texans ECNL G07,Dallas Texans,45790,15,2,9,4,10,0.67,14,28,-14,G2007,ECNL
15,Classics Elite ECNL G07,Classics Elite Soccer Academy,35215,15,2,12,1,7,0.47,15,69,-54,G2007,ECNL
16,Pride SC ECNL G07,No Club Selection,35221,15,1,14,0,3,0.2,13,64,-51,G2007,ECNL
1,Solar SC ECNL G08,Solar SC,46791,15,12,2,1,37,2.47,59,11,48,G2008,ECNL
2,Sting Dallas Black ECNL G08,Sting Soccer Club,11429,15,11,1,3,36,2.4,43,6,37,G2008,ECNL
3,Sting Austin ECNL G08,Sting Austin,46779,15,9,1,5,32,2.13,26,9,17,G2008,ECNL
4,Real Colorado National ECNL G08,Real Colorado,45853,14,9,3,2,29,2.07,28,9,19,G2008,ECNL
5,DKSC ECNL G08,No Club Selection,45734,15,9,3,3,30,2.0,27,21,6,G2008,ECNL
6,FC Dallas ECNL G08,FC Dallas Youth,46900,14,7,3,4,25,1.79,22,13,9,G2008,ECNL
7,OK Energy FC ECNL G08,Oklahoma Energy FC,59503,15,7,4,4,25,1.67,26,18,8,G2008,ECNL
8,Albion Hurricanes FC ECNL G08,Albion Hurricanes FC,39582,13,6,4,3,21,1.62,19,12,7,G2008,ECNL
9,Challenge SC ECNL G08,Challenge SC,44419,15,6,6,3,21,1.4,26,27,-1,G2008,ECNL
10,Colorado Rapids ECNL G08,Colorado Storm,46752,15,4,7,4,16,1.07,16,18,-2,G2008,ECNL
11,Sting Dallas Royal ECNL G08,Sting Soccer Club,22213,15,4,9,2,14,0.93,22,25,-3,G2008,ECNL
12,Dallas Texans ECNL G08,Dallas Texans,45786,15,2,6,7,13,0.87,14,24,-10,G2008,ECNL
13,Real Colorado Athletico ECNL G08,Real Colorado,46443,15,3,9,3,12,0.8,22,28,-6,G2008,ECNL
14,Pride SC ECNL G08,Pride SC,35220,15,2,9,4,10,0.67,9,31,-22,G2008,ECNL
15,Classics Elite ECNL G08,Classics Elite Soccer Academy,29192,15,2,11,2,8,0.53,8,49,-41,G2008,ECNL
16,Tulsa SC ECNL G08,No Club Selection,44083,15,0,15,0,0,0.0,3,69,-66,G2008,ECNL
1,Solar SC ECNL G09,Solar SC,59562,15,13,1,1,40,2.67,53,8,45,G2009,ECNL
2,FC Dallas ECNL G09,FC Dallas Youth,58541,15,13,1,1,40,2.67,49,4,45,G2009,ECNL
3,Sting Dallas Royal ECNL G09,Sting Soccer Club,68973,15,12,2,1,37,2.47,46,15,31,G2009,ECNL
4,Real Colorado National ECNL G09,Real Colorado,58631,15,11,3,1,34,2.27,52,13,39,G2009,ECNL
5,Albion Hurricanes FC ECNL G09,Albion Hurricanes FC,59340,15,9,3,3,30,2.0,50,12,38,G2009,ECNL
6,Dallas Texans ECNL G09,Dallas Texans,59998,15,9,5,1,28,1.87,29,22,7,G2009,ECNL
7,Sting Dallas Black ECNL G09,Sting Soccer Club,59553,15,7,5,3,24,1.6,32,25,7,G2009,ECNL
8,Challenge SC ECNL G09,Challenge SC,55881,15,6,6,3,21,1.4,25,29,-4,G2009,ECNL
9,Tulsa SC ECNL G09,No Club Selection,43250,15,6,8,1,19,1.27,17,32,-15,G2009,ECNL
10,Colorado Rapids ECNL G09,Colorado Storm,59850,15,4,7,4,16,1.07,28,33,-5,G2009,ECNL
11,OK Energy FC ECNL G09,Oklahoma Energy FC,59502,15,4,10,1,13,0.87,30,48,-18,G2009,ECNL
12,Sting Austin ECNL G09,Sting Austin,45246,15,2,8,5,11,0.73,19,42,-23,G2009,ECNL
13,Classics Elite  ECNL G09,Classics Elite Soccer Academy,40417,15,3,11,1,10,0.67,19,56,-37,G2009,ECNL
14,Real Colorado Athletico ECNL G09,Real Colorado,58634,15,3,11,1,10,0.67,15,45,-30,G2009,ECNL
15,DKSC ECNL G09,DKSC,47082,15,2,13,0,6,0.4,9,58,-49,G2009,ECNL
16,Pride SC ECNL G09,Pride SC,48226,15,1,11,3,6,0.4,14,45,-31,G2009,ECNL
1,Solar SC ECNL G10,Solar SC,66050,15,13,1,1,40,2.67,51,17,34,G2010,ECNL
2,Real Colorado National ECNL G10,Real Colorado,69251,14,11,1,2,35,2.5,51,7,44,G2010,ECNL
3,Albion Hurricanes FC ECNL G10,Albion Hurricanes FC,40463,15,9,2,4,31,2.07,39,18,21,G2010,ECNL
4,Dallas Texans ECNL G10,Dallas Texans,69269,15,9,4,2,29,1.93,39,16,23,G2010,ECNL
5,Sting Dallas Royal ECNL G10,Sting Soccer Club,68974,14,8,4,2,26,1.86,19,14,5,G2010,ECNL
6,FC Dallas ECNL G10,FC Dallas Youth,46266,15,8,4,3,27,1.8,26,16,10,G2010,ECNL
7,OK Energy FC ECNL G10,Oklahoma Energy FC,61013,15,8,4,3,27,1.8,30,15,15,G2010,ECNL
8,DKSC ECNL G10,DKSC,68923,15,8,5,2,26,1.73,25,19,6,G2010,ECNL
9,Tulsa SC ECNL G10,No Club Selection,66279,15,7,5,3,24,1.6,29,22,7,G2010,ECNL
10,Challenge SC ECNL G10,Challenge SC,66750,15,6,5,4,22,1.47,25,22,3,G2010,ECNL
11,Sting Dallas Black ECNL G10,Sting Soccer Club,48667,15,7,8,0,21,1.4,23,19,4,G2010,ECNL
12,Classics Elite ECNL G10,Classics Elite Soccer Academy,44138,15,4,11,0,12,0.8,12,46,-34,G2010,ECNL
13,Pride SC ECNL G10,Pride SC,59883,15,3,10,2,11,0.73,13,43,-30,G2010,ECNL
14,Real Colorado Athletico ECNL G10,Real Colorado,69250,15,2,12,1,7,0.47,16,31,-15,G2010,ECNL
15,Colorado Rapids ECNL G10,Colorado Storm,69485,15,1,13,1,4,0.27,17,48,-31,G2010,ECNL
16,Sting Austin ECNL G10,Sting Austin,69524,15,0,15,0,0,0.0,1,63,-62,G2010,ECNL
1,Solar SC ECNL G11,Solar SC,81882,15,13,0,2,41,2.73,63,7,56,G2011,ECNL
2,FC Dallas ECNL G11,FC Dallas Youth,63889,15,13,1,1,40,2.67,71,8,63,G2011,ECNL
3,Sting Dallas Black ECNL G11,Sting Soccer Club,80765,15,11,3,1,34,2.27,55,16,39,G2011,ECNL
4,Real Colorado National ECNL G11,Real Colorado,81431,15,9,3,3,30,2.0,43,12,31,G2011,ECNL
5,OK Energy FC ECNL G11,Oklahoma Energy FC,80774,15,8,6,1,25,1.67,33,28,5,G2011,ECNL
6,Challenge SC ECNL G11,Challenge SC,79514,15,8,6,1,25,1.67,33,25,8,G2011,ECNL
7,Tulsa SC ECNL G11,No Club Selection,42914,15,7,5,3,24,1.6,18,29,-11,G2011,ECNL
8,Dallas Texans ECNL G11,Dallas Texans,81587,15,6,7,2,20,1.33,28,21,7,G2011,ECNL
9,Albion Hurricanes FC ECNL G11,Albion Hurricanes FC,81918,15,6,7,2,20,1.33,36,34,2,G2011,ECNL
10,Sting Dallas Royal ECNL G11,Sting Soccer Club,80240,15,5,5,5,20,1.33,17,22,-5,G2011,ECNL
11,Sting Austin ECNL G11,Sting Austin,80047,15,5,8,2,17,1.13,15,38,-23,G2011,ECNL
12,Classics Elite ECNL G11,Classics Elite Soccer Academy,44142,15,5,8,2,17,1.13,23,48,-25,G2011,ECNL
13,Colorado Rapids ECNL G11,Colorado Storm,72334,15,5,10,0,15,1.0,15,37,-22,G2011,ECNL
14,DKSC ECNL G11,DKSC,81104,15,3,11,1,10,0.67,15,34,-19,G2011,ECNL
15,Real Colorado Athletico ECNL G11,Real Colorado,81521,15,3,12,0,9,0.6,18,46,-28,G2011,ECNL
16,Pride SC ECNL G11,Pride SC,76044,15,0,15,0,0,0.0,5,83,-78,G2011,ECNL
