rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G10,Solar SC,66050,15,13,1,1,40,2.67,51,17,34
2,Real Colorado National ECNL G10,Real Colorado,69251,14,11,1,2,35,2.5,51,7,44
3,Albion Hurricanes FC ECNL G10,Albion Hurricanes FC,40463,15,9,2,4,31,2.07,39,18,21
4,Dallas Texans ECNL G10,Dallas Texans,69269,15,9,4,2,29,1.93,39,16,23
5,Sting Dallas Royal ECNL G10,Sting Soccer Club,68974,14,8,4,2,26,1.86,19,14,5
6,FC Dallas ECNL G10,FC Dallas Youth,46266,15,8,4,3,27,1.8,26,16,10
7,OK Energy FC ECNL G10,Oklahoma Energy FC,61013,15,8,4,3,27,1.8,30,15,15
8,DKSC ECNL G10,DKSC,68923,15,8,5,2,26,1.73,25,19,6
9,Tulsa SC ECNL G10,No Club Selection,66279,15,7,5,3,24,1.6,29,22,7
10,Challenge SC ECNL G10,Challenge SC,66750,15,6,5,4,22,1.47,25,22,3
11,Sting Dallas Black ECNL G10,Sting Soccer Club,48667,15,7,8,0,21,1.4,23,19,4
12,Classics Elite ECNL G10,Classics Elite Soccer Academy,44138,15,4,11,0,12,0.8,12,46,-34
13,Pride SC ECNL G10,Pride SC,59883,15,3,10,2,11,0.73,13,43,-30
14,Real Colorado Athletico ECNL G10,Real Colorado,69250,15,2,12,1,7,0.47,16,31,-15
15,Colorado Rapids ECNL G10,Colorado Storm,69485,15,1,13,1,4,0.27,17,48,-31
16,Sting Austin ECNL G10,Sting Austin,69524,15,0,15,0,0,0.0,1,63,-62
