rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G07/06,No Club Selection,44736,10,10,0,0,30,3.0,46,6,40
2,PDA Blue ECNL G07/06,PDA Blue (North),1967,10,9,1,0,27,2.7,40,6,34
3,PDA White ECNL G07/06,PDA White (Shore),6860,10,7,3,0,21,2.1,23,10,13
4,Match Fit Academy ECNL G07/06,Match Fit Surf,34504,10,6,4,0,18,1.8,28,13,15
5,Philadelphia Ukrainian Nationals ECNL G07/06,Philadelphia Ukrainian Nationals,42097,10,5,5,0,15,1.5,18,13,5
6,Bethesda SC ECNL G07/06,Bethesda SC,20341,10,4,5,1,13,1.3,10,34,-24
7,Maryland United FC ECNL G07/06,No Club Selection,35283,10,4,6,0,12,1.2,10,14,-4
8,FC DELCO ECNL G07/06,FC DELCO,12575,10,3,5,2,11,1.1,15,22,-7
9,HEX FC Bucks ECNL G07/06,HEX FC,33878,10,3,7,0,9,0.9,9,17,-8
10,PDA South ECNL G07/06,PDA South,1840,10,1,8,1,4,0.4,7,32,-25
11,Pipeline SC ECNL G07/06,Pipeline SC,45829,10,1,9,0,3,0.3,5,44,-39
