rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G11,Bethesda SC,69569,20,14,3,3,45,2.25,44,18,26
2,Penn Fusion SA ECNL G11,Penn Fusion Soccer Academy,68841,20,14,5,1,43,2.15,41,13,28
3,Match Fit Academy ECNL G11,Match Fit Surf,34875,20,13,4,3,42,2.1,36,25,11
4,Maryland United FC ECNL G11,Maryland United Football Club,69710,20,12,7,1,37,1.85,31,21,10
5,Philadelphia Ukrainian Nationals ECNL G11,Philadelphia Ukrainian Nationals,68006,20,10,7,3,33,1.65,31,21,10
6,FC DELCO ECNL G11,FC DELCO,68932,20,8,10,2,26,1.3,22,26,-4
7,PDA South ECNL G11,PDA South,48114,20,8,12,0,24,1.2,23,29,-6
8,Pipeline SC ECNL G11,Pipeline SC,55341,20,7,10,3,24,1.2,20,33,-13
9,HEX FC Bucks ECNL G11,HEX FC,67902,20,6,10,4,22,1.1,25,31,-6
10,PDA Blue ECNL G11,PDA Blue (North),44465,20,7,13,0,21,1.05,23,39,-16
11,PDA White ECNL G11,PDA White (Shore),18651,20,1,19,0,3,0.15,11,51,-40
