rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,10,10,0,0,30,3.0,46,5,41
2,PDA Blue ECNL G08,PDA Blue (North),3701,10,8,1,1,25,2.5,37,8,29
3,Pipeline SC ECNL G08,Pipeline SC,45827,10,6,2,2,20,2.0,16,13,3
4,Bethesda SC ECNL G08,Bethesda SC,46815,10,5,3,2,17,1.7,24,16,8
5,PDA White ECNL G08,PDA White (Shore),11460,10,4,4,2,14,1.4,14,21,-7
6,FC DELCO ECNL G08,FC DELCO,36383,10,4,5,1,13,1.3,14,18,-4
7,HEX FC Bucks ECNL G08,HEX FC,26917,10,4,5,1,13,1.3,12,16,-4
8,Match Fit Academy ECNL G08,Match Fit Surf,34505,10,3,3,4,13,1.3,12,17,-5
9,PDA South ECNL G08,PDA South,1815,10,1,6,3,6,0.6,9,26,-17
10,Maryland United FC ECNL G08,Maryland United Football Club,36637,10,1,7,2,5,0.5,10,24,-14
11,Philadelphia Ukrainian Nationals ECNL G08,Philadelphia Ukrainian Nationals,72153,10,0,10,0,0,0.0,1,31,-30
