rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eclipse Select SC ECNL G11,Eclipse Select Soccer Club,78148,14,12,1,1,37,2.64,50,7,43
2,SLSG Navy ECNL G11,St. Louis Scott Gallagher,79620,14,11,1,2,35,2.5,50,11,39
3,Michigan Hawks ECNL G11,Michigan Hawks,54493,14,10,1,3,33,2.36,45,8,37
4,Sporting Blue Valley ECNL G11,Sporting Blue Valley,79701,14,11,3,0,33,2.36,39,11,28
5,Liverpool FC IA Michigan ECNL G11,Liverpool FC-IA Michigan,69697,14,10,4,0,30,2.14,28,13,15
6,SLSG Green MO ECNL G11,St. Louis Scott Gallagher,79621,14,9,3,2,29,2.07,34,11,23
7,Chicago Inter Soccer ECNL G11,Chicago Inter,79680,14,8,5,1,25,1.79,27,21,6
8,Kansas City Athletics ECNL G11,KC Athletics,79772,14,7,5,2,23,1.64,35,30,5
9,Midwest United FC ECNL G11,Midwest United FC,71849,14,6,8,0,18,1.29,22,35,-13
10,Sporting Iowa ECNL G11,Sporting Iowa Central,79780,14,4,10,0,12,0.86,19,54,-35
11,Minnesota Thunder ECNL G11 ,Minnesota Thunder Academy,71852,14,3,9,2,11,0.79,14,26,-12
12,Michigan Hawks Magic ECNL G11,Michigan Hawks,79687,14,3,10,1,10,0.71,8,41,-33
13,Rockford Raptors ECNL G11,Rockford Raptors FC,68287,14,2,11,1,7,0.5,15,34,-19
14,Gretna Elite Academy ECNL G11,Gretna Elite Academy,60713,14,0,12,2,2,0.14,5,50,-45
15,FC Wisconsin ECNL G11,FC Wisconsin Girls,71855,14,0,13,1,1,0.07,3,42,-39
