rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G10,Michigan Hawks,69108,14,11,1,2,35,2.5,42,12,30
2,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,14,11,2,1,34,2.43,38,10,28
3,SLSG Green MO ECNL G10,St. Louis Scott Gallagher,68780,14,9,2,3,30,2.14,41,13,28
4,Liverpool FC IA Michigan ECNL G10,Liverpool FC-IA Michigan,69186,14,9,4,1,28,2.0,30,21,9
5,Kansas City Athletics ECNL G10,KC Athletics,46766,14,8,3,3,27,1.93,45,19,26
6,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,14,8,4,2,26,1.86,45,18,27
7,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,14,8,4,2,26,1.86,25,18,7
8,Michigan Hawks Magic ECNL G10,Michigan Hawks,69104,14,5,5,4,19,1.36,32,34,-2
9,Sporting Blue Valley ECNL G10,Sporting Blue Valley,68425,14,5,7,2,17,1.21,21,24,-3
10,Midwest United FC ECNL G10,Midwest United FC,59338,14,5,8,1,16,1.14,15,22,-7
11,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,14,3,10,1,10,0.71,14,36,-22
12,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,14,3,10,1,10,0.71,15,35,-20
13,Chicago Inter Soccer ECNL G10,Chicago Inter,69849,14,3,11,0,9,0.64,9,40,-31
14,Sporting Iowa ECNL G10,Sporting Iowa Central,69510,14,2,10,2,8,0.57,14,40,-26
15,Rockford Raptors ECNL G10,Rockford Raptors FC,68288,14,2,11,1,7,0.5,11,55,-44
